,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1977,39,ATL,NFL,14,7,7,0,0.5,0.5,-6.1,6.6,,,,,2.0,
1,1978,40,ATL,NFL,16,9,7,0,0.563,-4.6,-3.7,-0.9,2.0,1.0,1.0,0.5,2.0,
2,1979,41,ATL,NFL,16,6,10,0,0.375,-6.6,-1.9,-4.7,,,,,3.0,
3,1980,42,ATL,NFL,16,12,4,0,0.75,7.8,4.5,3.4,1.0,0.0,1.0,0.0,1.0,
4,1981,43,ATL,NFL,16,7,9,0,0.438,4.0,6.5,-2.6,,,,,2.0,
5,1982,44,ATL,NFL,9,5,4,0,0.556,-3.8,-0.5,-3.3,1.0,0.0,1.0,0.0,1.0,
6,1985,47,TAM,NFL,16,2,14,0,0.125,-7.4,-1.9,-5.5,,,,,5.0,
7,1986,48,TAM,NFL,16,2,14,0,0.125,-15.4,-4.6,-10.8,,,,,5.0,
8,8 yrs,8 yrs,,,119,50,69,0,0.42,,,,4.0,1.0,3.0,0.25,2.6,
9,6 yrs,6 yrs,ATL,,87,46,41,0,0.529,,,,4.0,1.0,3.0,0.25,1.8,
10,2 yrs,2 yrs,TAM,,32,4,28,0,0.125,,,,0.0,0.0,0.0,,5.0,
