,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2009,54,IND,NFL,16,14,2,0,0.875,5.9,4.4,1.5,3.0,2.0,1.0,0.667,1.0,5,4,AFC Champions
1,2010,55,IND,NFL,16,10,6,0,0.625,2.9,3.7,-0.9,1.0,0.0,1.0,0.0,1.0,8,4,
2,2011,56,IND,NFL,16,2,14,0,0.125,-11.3,-6.0,-5.3,,,,,4.0,3,2,
3,2014,59,DET,NFL,16,11,5,0,0.688,2.1,-3.2,5.2,1.0,0.0,1.0,0.0,2.0,4,2,
4,2015,60,DET,NFL,16,7,9,0,0.438,-0.2,1.0,-1.3,,,,,3.0,7,4,
5,2016,61,DET,NFL,16,9,7,0,0.563,-1.4,-1.3,-0.1,1.0,0.0,1.0,0.0,2.0,4,2,
6,2017,62,DET,NFL,16,9,7,0,0.563,2.7,5.2,-2.5,,,,,2.0,5,4,
7,7 yrs,7 yrs,,,112,62,50,0,0.554,,,,6.0,2.0,4.0,0.333,2.1,36,22,
8,4 yrs,4 yrs,DET,,64,36,28,0,0.563,,,,2.0,0.0,2.0,0.0,2.3,20,12,
9,3 yrs,3 yrs,IND,,48,26,22,0,0.542,,,,4.0,2.0,2.0,0.5,2.0,16,10,
