,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1974,45,ATL,NFL,6,1,5,0,0.167,-12.3,-9.7,-2.6,,,,,4.0,
1,1975,46,ATL,NFL,14,4,10,0,0.286,-3.5,-2.7,-0.8,,,,,3.0,
2,1976,47,ATL,NFL,5,1,4,0,0.2,-10.3,-6.7,-3.5,,,,,3.0,
3,1983,54,PHI,NFL,16,5,11,0,0.313,-3.1,-6.7,3.6,,,,,4.0,
4,1984,55,PHI,NFL,16,6,9,1,0.406,-2.4,-4.3,1.9,,,,,5.0,
5,1985,56,PHI,NFL,15,6,9,0,0.4,-3.4,-4.8,1.3,,,,,4.0,
6,1987,58,ATL,NFL,15,3,12,0,0.2,-13.8,-7.9,-5.9,,,,,4.0,
7,1988,59,ATL,NFL,16,5,11,0,0.313,-4.5,-5.0,0.5,,,,,4.0,
8,1989,60,ATL,NFL,12,3,9,0,0.25,-9.1,-3.2,-5.9,,,,,4.0,
9,9 yrs,9 yrs,,,115,34,80,1,0.3,,,,0.0,0.0,0.0,,3.9,
10,6 yrs,6 yrs,ATL,,68,17,51,0,0.25,,,,0.0,0.0,0.0,,3.7,
11,3 yrs,3 yrs,PHI,,47,17,29,1,0.372,,,,0.0,0.0,0.0,,4.3,
