,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1995,45,CAR,NFL,16,7,9,0,0.438,-3.8,-4.1,0.3,,,,,4.0,,,
1,1996,46,CAR,NFL,16,12,4,0,0.75,7.1,1.4,5.6,2.0,1.0,1.0,0.5,1.0,,,
2,1997,47,CAR,NFL,16,7,9,0,0.438,-3.6,-4.4,0.8,,,,,2.0,,,
3,1998,48,CAR,NFL,16,4,12,0,0.25,-1.3,1.0,-2.4,,,,,4.0,,,
4,2002,52,HOU,NFL,16,4,12,0,0.25,-9.4,-8.4,-1.1,,,,,4.0,7.0,1.0,
5,2003,53,HOU,NFL,16,5,11,0,0.313,-6.0,-4.4,-1.5,,,,,4.0,2.0,1.0,
6,2004,54,HOU,NFL,16,7,9,0,0.438,-0.6,-2.4,1.8,,,,,3.0,6.0,1.0,
7,2005,55,HOU,NFL,16,2,14,0,0.125,-10.0,-4.4,-5.7,,,,,4.0,6.0,2.0,
8,8 yrs,8 yrs,,,128,48,80,0,0.375,,,,2.0,1.0,1.0,0.5,3.3,21.0,5.0,
9,4 yrs,4 yrs,CAR,,64,30,34,0,0.469,,,,2.0,1.0,1.0,0.5,2.8,,,
10,4 yrs,4 yrs,HOU,,64,18,46,0,0.281,,,,0.0,0.0,0.0,,3.8,21.0,5.0,
