,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1922,28,CAN,NFL,12,10,0,2,1.0,10.7,3.5,7.2,,,,,1.0,NFL Champions
1,1923,29,CAN,NFL,12,11,0,1,1.0,15.8,11.6,4.3,,,,,1.0,NFL Champions
2,1924,30,CLE,NFL,9,7,1,1,0.875,11.4,10.3,1.1,,,,,1.0,NFL Champions
3,1925,31,FRN,NFL,20,13,7,0,0.65,0.1,0.7,-0.6,,,,,6.0,
4,1926,32,FRN,NFL,17,14,1,2,0.933,7.5,4.8,2.7,,,,,1.0,NFL Champions
5,1927,33,CRD,NFL,11,3,7,1,0.3,-4.1,-1.6,-2.5,,,,,9.0,
6,6 yrs,6 yrs,,,81,58,16,7,0.784,,,,0.0,0.0,0.0,,3.2,
7,2 yrs,2 yrs,CAN,,24,21,0,3,1.0,,,,0.0,0.0,0.0,,1.0,
8,2 yrs,2 yrs,FRN,,37,27,8,2,0.771,,,,0.0,0.0,0.0,,3.5,
9,1 yr,1 yr,CLE,,9,7,1,1,0.875,,,,0.0,0.0,0.0,,1.0,
10,1 yr,1 yr,CRD,,11,3,7,1,0.3,,,,0.0,0.0,0.0,,9.0,
