,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1990,44,NYJ,NFL,16,6,10,0,0.375,-4.6,-2.0,-2.6,,,,,4.0,,,
1,1991,45,NYJ,NFL,16,8,8,0,0.5,-2.4,-1.2,-1.2,1.0,0.0,1.0,0.0,2.0,,,
2,1992,46,NYJ,NFL,16,4,12,0,0.25,-6.9,-6.0,-0.9,,,,,4.0,,,
3,1993,47,NYJ,NFL,16,8,8,0,0.5,0.8,-2.1,2.9,,,,,3.0,,,
4,1996,50,CIN,NFL,9,7,2,0,0.778,-0.1,2.5,-2.6,,,,,3.0,,,
5,1997,51,CIN,NFL,16,7,9,0,0.438,-2.2,1.8,-4.0,,,,,4.0,,,
6,1998,52,CIN,NFL,16,3,13,0,0.188,-11.0,-4.5,-6.5,,,,,5.0,,,
7,1999,53,CIN,NFL,16,4,12,0,0.25,-11.5,-3.3,-8.2,,,,,5.0,2.0,0.0,
8,2000,54,CIN,NFL,3,0,3,0,0.0,-10.5,-8.1,-2.4,,,,,5.0,2.0,1.0,Fired after week 4
9,9 yrs,9 yrs,,,124,47,77,0,0.379,,,,1.0,0.0,1.0,0.0,3.9,4.0,1.0,
10,5 yrs,5 yrs,CIN,,60,21,39,0,0.35,,,,0.0,0.0,0.0,,4.4,4.0,1.0,
11,4 yrs,4 yrs,NYJ,,64,26,38,0,0.406,,,,1.0,0.0,1.0,0.0,3.3,,,
