,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1995,49,JAX,NFL,16,4,12,0,0.25,-8.1,-4.4,-3.7,,,,,5.0,,,
1,1996,50,JAX,NFL,16,9,7,0,0.563,-1.5,-1.6,0.1,3.0,2.0,1.0,0.667,2.0,,,
2,1997,51,JAX,NFL,16,11,5,0,0.688,5.5,4.4,1.0,1.0,0.0,1.0,0.0,2.0,,,
3,1998,52,JAX,NFL,16,11,5,0,0.688,2.5,3.1,-0.6,2.0,1.0,1.0,0.5,1.0,,,
4,1999,53,JAX,NFL,16,14,2,0,0.875,6.4,1.3,5.1,2.0,1.0,1.0,0.5,1.0,2.0,1.0,
5,2000,54,JAX,NFL,16,7,9,0,0.438,1.1,3.2,-2.1,,,,,4.0,7.0,6.0,
6,2001,55,JAX,NFL,16,6,10,0,0.375,0.9,-1.1,2.0,,,,,5.0,5.0,1.0,
7,2002,56,JAX,NFL,16,6,10,0,0.375,-0.2,-1.3,1.1,,,,,3.0,2.0,1.0,
8,2004,58,NYG,NFL,16,6,10,0,0.375,-3.9,-2.3,-1.6,,,,,2.0,9.0,4.0,
9,2005,59,NYG,NFL,16,11,5,0,0.688,7.5,5.8,1.7,1.0,0.0,1.0,0.0,1.0,9.0,2.0,
10,2006,60,NYG,NFL,16,8,8,0,0.5,0.1,1.2,-1.1,1.0,0.0,1.0,0.0,3.0,12.0,6.0,
11,2007,61,NYG,NFL,16,10,6,0,0.625,3.3,2.8,0.4,4.0,4.0,0.0,1.0,2.0,10.0,4.0,Super Bowl Champions
12,2008,62,NYG,NFL,16,12,4,0,0.75,8.4,5.5,2.8,1.0,0.0,1.0,0.0,1.0,9.0,6.0,
13,2009,63,NYG,NFL,16,8,8,0,0.5,0.1,4.6,-4.5,,,,,3.0,5.0,2.0,
14,2010,64,NYG,NFL,16,10,6,0,0.625,2.1,1.7,0.4,,,,,2.0,12.0,7.0,
15,2011,65,NYG,NFL,16,9,7,0,0.563,1.6,3.1,-1.5,4.0,4.0,0.0,1.0,1.0,12.0,4.0,Super Bowl Champions
16,2012,66,NYG,NFL,16,9,7,0,0.563,6.2,4.0,2.2,,,,,2.0,3.0,1.0,
17,2013,67,NYG,NFL,16,7,9,0,0.438,-5.4,-6.2,0.8,,,,,3.0,5.0,4.0,
18,2014,68,NYG,NFL,16,6,10,0,0.375,-1.7,0.8,-2.5,,,,,3.0,4.0,2.0,
19,2015,69,NYG,NFL,16,6,10,0,0.375,-3.6,2.5,-6.1,,,,,3.0,4.0,1.0,
20,20 yrs,20 yrs,,,320,170,150,0,0.531,,,,19.0,12.0,7.0,0.632,2.5,110.0,52.0,
21,12 yrs,12 yrs,NYG,,192,102,90,0,0.531,,,,11.0,8.0,3.0,0.727,2.2,94.0,43.0,
22,8 yrs,8 yrs,JAX,,128,68,60,0,0.531,,,,8.0,4.0,4.0,0.5,2.9,16.0,9.0,
