,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1992,35,PIT,NFL,16,11,5,0,0.688,3.6,-0.4,4.0,1.0,0.0,1.0,0.0,1.0,,,
1,1993,36,PIT,NFL,16,9,7,0,0.563,1.5,0.1,1.5,1.0,0.0,1.0,0.0,2.0,,,
2,1994,37,PIT,NFL,16,12,4,0,0.75,4.7,-0.2,5.0,2.0,1.0,1.0,0.5,1.0,,,
3,1995,38,PIT,NFL,16,11,5,0,0.688,4.6,3.4,1.2,3.0,2.0,1.0,0.667,1.0,,,AFC Champions
4,1996,39,PIT,NFL,16,10,6,0,0.625,5.2,0.0,5.1,2.0,1.0,1.0,0.5,1.0,,,
5,1997,40,PIT,NFL,16,11,5,0,0.688,5.3,2.7,2.6,2.0,1.0,1.0,0.5,1.0,,,
6,1998,41,PIT,NFL,16,7,9,0,0.438,-3.8,-5.1,1.3,,,,,3.0,,,
7,1999,42,PIT,NFL,16,6,10,0,0.375,-2.4,-2.2,-0.2,,,,,4.0,2.0,0.0,
8,2000,43,PIT,NFL,16,9,7,0,0.563,3.9,0.6,3.3,,,,,3.0,7.0,4.0,
9,2001,44,PIT,NFL,16,13,3,0,0.813,7.4,1.5,5.8,2.0,1.0,1.0,0.5,1.0,6.0,3.0,
10,2002,45,PIT,NFL,16,10,5,1,0.656,2.7,3.1,-0.4,2.0,1.0,1.0,0.5,1.0,10.0,6.0,
11,2003,46,PIT,NFL,16,6,10,0,0.375,-1.1,-2.5,1.4,,,,,3.0,5.0,0.0,
12,2004,47,PIT,NFL,16,15,1,0,0.938,9.0,3.4,5.6,2.0,1.0,1.0,0.5,1.0,9.0,3.0,
13,2005,48,PIT,NFL,16,11,5,0,0.688,7.8,3.8,4.0,4.0,4.0,0.0,1.0,2.0,9.0,6.0,Super Bowl Champions
14,2006,49,PIT,NFL,16,8,8,0,0.5,3.4,3.0,0.4,,,,,3.0,11.0,5.0,
15,15 yrs,15 yrs,,,240,149,90,1,0.623,,,,21.0,12.0,9.0,0.571,1.9,59.0,27.0,
