,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1982,43,CHI,NFL,9,3,6,0,0.333,-5.4,-4.2,-1.2,,,,,5.0,,,
1,1983,44,CHI,NFL,16,8,8,0,0.5,-1.1,-2.5,1.5,,,,,3.0,,,
2,1984,45,CHI,NFL,16,10,6,0,0.625,4.7,-1.7,6.4,2.0,1.0,1.0,0.5,1.0,,,
3,1985,46,CHI,NFL,16,15,1,0,0.938,15.9,6.5,9.4,3.0,3.0,0.0,1.0,1.0,,,Super Bowl Champions
4,1986,47,CHI,NFL,16,14,2,0,0.875,7.6,-0.1,7.7,1.0,0.0,1.0,0.0,1.0,,,
5,1987,48,CHI,NFL,15,11,4,0,0.733,3.8,1.5,2.3,1.0,0.0,1.0,0.0,1.0,,,
6,1988,49,CHI,NFL,16,12,4,0,0.75,6.6,0.0,6.6,2.0,1.0,1.0,0.5,1.0,,,
7,1989,50,CHI,NFL,16,6,10,0,0.375,0.0,1.8,-1.8,,,,,4.0,,,
8,1990,51,CHI,NFL,16,11,5,0,0.688,3.4,0.1,3.3,2.0,1.0,1.0,0.5,1.0,,,
9,1991,52,CHI,NFL,16,11,5,0,0.688,0.8,-1.2,2.0,1.0,0.0,1.0,0.0,2.0,,,
10,1992,53,CHI,NFL,16,5,11,0,0.313,-3.5,-0.2,-3.3,,,,,4.0,,,
11,1997,58,NOR,NFL,16,6,10,0,0.375,-7.4,-6.8,-0.6,,,,,4.0,,,
12,1998,59,NOR,NFL,16,6,10,0,0.375,0.1,-1.5,1.6,,,,,3.0,,,
13,1999,60,NOR,NFL,16,3,13,0,0.188,-12.1,-5.3,-6.9,,,,,5.0,4.0,1.0,
14,14 yrs,14 yrs,,,216,121,95,0,0.56,,,,12.0,6.0,6.0,0.5,2.6,4.0,1.0,
15,11 yrs,11 yrs,CHI,,168,106,62,0,0.631,,,,12.0,6.0,6.0,0.5,2.2,,,
16,3 yrs,3 yrs,NOR,,48,15,33,0,0.313,,,,0.0,0.0,0.0,,4.0,4.0,1.0,
