,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2001,47,NYJ,NFL,16,10,6,0,0.625,0.8,-2.0,2.8,1.0,0.0,1.0,0.0,3.0,7,3,
1,2002,48,NYJ,NFL,16,9,7,0,0.563,3.2,0.9,2.3,2.0,1.0,1.0,0.5,1.0,8,4,
2,2003,49,NYJ,NFL,16,6,10,0,0.375,-0.6,-1.9,1.3,,,,,4.0,4,2,
3,2004,50,NYJ,NFL,16,10,6,0,0.625,6.6,0.5,6.0,2.0,1.0,1.0,0.5,2.0,2,0,
4,2005,51,NYJ,NFL,16,4,12,0,0.25,-6.4,-5.2,-1.2,,,,,4.0,6,3,
5,2006,52,KAN,NFL,16,9,7,0,0.563,1.0,0.4,0.6,1.0,0.0,1.0,0.0,2.0,6,3,
6,2007,53,KAN,NFL,16,4,12,0,0.25,-5.5,-7.4,1.9,,,,,3.0,8,2,
7,2008,54,KAN,NFL,16,2,14,0,0.125,-9.2,-3.9,-5.3,,,,,4.0,12,5,
8,8 yrs,8 yrs,,,128,54,74,0,0.422,,,,6.0,2.0,4.0,0.333,2.9,53,22,
9,5 yrs,5 yrs,NYJ,,80,39,41,0,0.488,,,,5.0,2.0,3.0,0.4,2.8,27,12,
10,3 yrs,3 yrs,KAN,,48,15,33,0,0.313,,,,1.0,0.0,1.0,0.0,3.0,26,10,
