,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1994,36,HOU,NFL,6,1,5,0,0.167,-7.3,-4.7,-2.6,,,,,4.0,,,
1,1995,37,HOU,NFL,16,7,9,0,0.438,0.8,-0.1,0.9,,,,,2.0,,,
2,1996,38,HOU,NFL,16,8,8,0,0.5,1.0,0.1,0.8,,,,,4.0,,,
3,1997,39,TEN,NFL,16,8,8,0,0.5,1.7,-0.3,1.9,,,,,3.0,,,
4,1998,40,TEN,NFL,16,8,8,0,0.5,0.0,-0.5,0.5,,,,,2.0,,,
5,1999,41,TEN,NFL,16,13,3,0,0.813,1.0,2.0,-1.0,4.0,3.0,1.0,0.75,2.0,5.0,1.0,AFC Champions
6,2000,42,TEN,NFL,16,13,3,0,0.813,8.3,1.5,6.8,1.0,0.0,1.0,0.0,1.0,3.0,1.0,
7,2001,43,TEN,NFL,16,7,9,0,0.438,-2.0,2.4,-4.4,,,,,4.0,5.0,4.0,
8,2002,44,TEN,NFL,16,11,5,0,0.688,1.8,1.6,0.1,2.0,1.0,1.0,0.5,1.0,7.0,1.0,
9,2003,45,TEN,NFL,16,12,4,0,0.75,6.5,7.0,-0.5,2.0,1.0,1.0,0.5,2.0,5.0,2.0,
10,2004,46,TEN,NFL,16,5,11,0,0.313,-4.4,0.3,-4.6,,,,,4.0,8.0,3.0,
11,2005,47,TEN,NFL,16,4,12,0,0.25,-7.6,-2.0,-5.5,,,,,3.0,1.0,0.0,
12,2006,48,TEN,NFL,16,8,8,0,0.5,-1.3,1.0,-2.3,,,,,2.0,8.0,3.0,
13,2007,49,TEN,NFL,16,10,6,0,0.625,0.7,-2.9,3.6,1.0,0.0,1.0,0.0,3.0,6.0,4.0,
14,2008,50,TEN,NFL,16,13,3,0,0.813,8.9,1.5,7.5,1.0,0.0,1.0,0.0,1.0,2.0,0.0,
15,2009,51,TEN,NFL,16,8,8,0,0.5,-2.8,0.9,-3.6,,,,,3.0,6.0,1.0,
16,2010,52,TEN,NFL,16,6,10,0,0.375,1.0,-0.9,1.9,,,,,4.0,9.0,3.0,
17,2012,54,STL,NFL,16,7,8,1,0.469,0.4,-2.1,2.4,,,,,3.0,3.0,1.0,
18,2013,55,STL,NFL,16,7,9,0,0.438,2.2,0.4,1.8,,,,,4.0,3.0,1.0,
19,2014,56,STL,NFL,16,6,10,0,0.375,-0.8,-1.2,0.4,,,,,4.0,2.0,1.0,
20,2015,57,STL,NFL,16,7,9,0,0.438,-0.2,-3.8,3.6,,,,,3.0,7.0,4.0,
21,2016,58,LAR,NFL,13,4,9,0,0.308,-11.1,-9.5,-1.6,,,,,3.0,0.0,0.0,Fired after Week 14
22,22 yrs,22 yrs,,,339,173,165,1,0.512,,,,11.0,5.0,6.0,0.455,2.8,80.0,30.0,
23,17 yrs,17 yrs,HOU-TEN,,262,142,120,0,0.542,,,,11.0,5.0,6.0,0.455,2.6,65.0,23.0,
24,5 yrs,5 yrs,LAR-STL,,77,31,45,1,0.409,,,,0.0,0.0,0.0,,3.4,15.0,7.0,
