,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1988,48,DET,NFL,5,2,3,0,0.4,-4.0,-5.0,1.0,,,,,4.0,
1,1989,49,DET,NFL,16,7,9,0,0.438,-3.5,-1.7,-1.8,,,,,3.0,
2,1990,50,DET,NFL,16,6,10,0,0.375,-1.6,4.2,-5.9,,,,,3.0,
3,1991,51,DET,NFL,16,12,4,0,0.75,1.0,0.9,0.0,2.0,1.0,1.0,0.5,1.0,
4,1992,52,DET,NFL,16,5,11,0,0.313,-1.9,-0.7,-1.1,,,,,5.0,
5,1993,53,DET,NFL,16,10,6,0,0.625,-0.3,-0.3,0.0,1.0,0.0,1.0,0.0,1.0,
6,1994,54,DET,NFL,16,9,7,0,0.563,2.4,2.8,-0.4,1.0,0.0,1.0,0.0,3.0,
7,1995,55,DET,NFL,16,10,6,0,0.625,6.9,5.9,1.0,1.0,0.0,1.0,0.0,2.0,
8,1996,56,DET,NFL,16,5,11,0,0.313,-2.9,-0.4,-2.5,,,,,5.0,
9,9 yrs,9 yrs,,,133,66,67,0,0.496,,,,5.0,1.0,4.0,0.2,3.0,
