,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2002,47,CAR,NFL,16,7,9,0,0.438,-3.3,-6.0,2.8,,,,,4.0,9,1,
1,2003,48,CAR,NFL,16,11,5,0,0.688,-0.9,-1.5,0.6,4.0,3.0,1.0,0.75,1.0,13,8,NFC Champions
2,2004,49,CAR,NFL,16,7,9,0,0.438,-0.7,-0.8,0.1,,,,,3.0,13,2,
3,2005,50,CAR,NFL,16,11,5,0,0.688,5.1,3.0,2.1,3.0,2.0,1.0,0.667,2.0,7,2,
4,2006,51,CAR,NFL,16,8,8,0,0.5,-2.7,-4.2,1.5,,,,,2.0,6,3,
5,2007,52,CAR,NFL,16,7,9,0,0.438,-5.8,-5.7,-0.1,,,,,2.0,10,3,
6,2008,53,CAR,NFL,16,12,4,0,0.75,5.6,2.8,2.9,1.0,0.0,1.0,0.0,1.0,7,1,
7,2009,54,CAR,NFL,16,8,8,0,0.5,3.9,-0.6,4.5,,,,,3.0,9,6,
8,2010,55,CAR,NFL,16,2,14,0,0.125,-13.2,-9.1,-4.1,,,,,4.0,12,3,
9,2011,56,DEN,NFL,16,8,8,0,0.5,-5.3,-3.6,-1.7,2.0,1.0,1.0,0.5,1.0,9,4,
10,2012,57,DEN,NFL,16,13,3,0,0.813,10.1,6.3,3.8,1.0,0.0,1.0,0.0,1.0,7,6,
11,2013,58,DEN,NFL,16,13,3,0,0.813,11.4,14.1,-2.7,3.0,2.0,1.0,0.667,1.0,8,1,AFC Champions
12,2014,59,DEN,NFL,16,12,4,0,0.75,9.6,9.2,0.4,1.0,0.0,1.0,0.0,1.0,6,2,
13,2015,60,CHI,NFL,16,6,10,0,0.375,-1.3,-0.1,-1.2,,,,,4.0,4,1,
14,2016,61,CHI,NFL,16,3,13,0,0.188,-7.5,-5.2,-2.3,,,,,4.0,6,2,
15,2017,62,CHI,NFL,16,5,11,0,0.313,-1.3,-4.6,3.3,,,,,4.0,7,3,
16,16 yrs,16 yrs,,,256,133,123,0,0.52,,,,15.0,8.0,7.0,0.533,2.4,133,48,
17,9 yrs,9 yrs,CAR,,144,73,71,0,0.507,,,,8.0,5.0,3.0,0.625,2.4,86,29,
18,4 yrs,4 yrs,DEN,,64,46,18,0,0.719,,,,7.0,3.0,4.0,0.429,1.0,30,13,
19,3 yrs,3 yrs,CHI,,48,14,34,0,0.292,,,,,,,,4.0,17,6,
