,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2010,44,DAL,NFL,8,5,3,0,0.625,-2.2,2.5,-4.7,,,,,3.0,4,3,Coach starting Week 10
1,2011,45,DAL,NFL,16,8,8,0,0.5,1.6,0.7,0.9,,,,,3.0,4,2,
2,2012,46,DAL,NFL,16,8,8,0,0.5,0.3,1.4,-1.2,,,,,3.0,5,5,
3,2013,47,DAL,NFL,16,8,8,0,0.5,-0.7,2.7,-3.4,,,,,2.0,1,0,
4,2014,48,DAL,NFL,16,12,4,0,0.75,5.4,5.3,0.1,2.0,1.0,1.0,0.5,1.0,7,4,
5,2015,49,DAL,NFL,16,4,12,0,0.25,-6.9,-7.0,0.1,,,,,4.0,7,3,
6,2016,50,DAL,NFL,16,13,3,0,0.813,7.0,4.1,2.9,1.0,0.0,1.0,0.0,1.0,3,1,
7,2017,51,DAL,NFL,16,9,7,0,0.563,1.6,0.4,1.2,,,,,2.0,5,1,
8,2018,52,DAL,NFL,16,10,6,0,0.625,1.1,-1.9,2.9,2.0,1.0,1.0,0.5,1.0,5,2,
9,2019,53,DAL,NFL,16,8,8,0,0.5,5.3,3.8,1.5,,,,,2.0,4,3,
10,10 yrs,10 yrs,,,152,85,67,0,0.559,,,,5.0,2.0,3.0,0.4,2.2,45,24,
