,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1981,41,WAS,NFL,16,8,8,0,0.5,1.0,2.2,-1.2,,,,,4.0,,,
1,1982,42,WAS,NFL,9,8,1,0,0.889,7.4,2.2,5.2,4.0,4.0,0.0,1.0,1.0,,,Super Bowl Champions
2,1983,43,WAS,NFL,16,14,2,0,0.875,13.9,11.7,2.2,3.0,2.0,1.0,0.667,1.0,,,NFC Champions
3,1984,44,WAS,NFL,16,11,5,0,0.688,6.4,5.0,1.3,1.0,0.0,1.0,0.0,1.0,,,
4,1985,45,WAS,NFL,16,10,6,0,0.625,-1.9,-3.4,1.5,,,,,3.0,,,
5,1986,46,WAS,NFL,16,12,4,0,0.75,5.5,3.5,2.1,3.0,2.0,1.0,0.667,2.0,,,
6,1987,47,WAS,NFL,15,11,4,0,0.733,3.8,1.8,2.0,3.0,3.0,0.0,1.0,1.0,,,Super Bowl Champions
7,1988,48,WAS,NFL,16,7,9,0,0.438,-2.2,1.2,-3.4,,,,,3.0,,,
8,1989,49,WAS,NFL,16,10,6,0,0.625,4.0,3.8,0.2,,,,,3.0,,,
9,1990,50,WAS,NFL,16,10,6,0,0.625,5.4,4.6,0.8,2.0,1.0,1.0,0.5,3.0,,,
10,1991,51,WAS,NFL,16,14,2,0,0.875,16.6,11.7,4.9,3.0,3.0,0.0,1.0,1.0,,,Super Bowl Champions
11,1992,52,WAS,NFL,16,9,7,0,0.563,4.4,0.7,3.8,2.0,1.0,1.0,0.5,3.0,,,
12,2004,64,WAS,NFL,16,6,10,0,0.375,-3.4,-7.4,4.0,,,,,4.0,7.0,2.0,
13,2005,65,WAS,NFL,16,10,6,0,0.625,6.0,2.6,3.4,2.0,1.0,1.0,0.5,2.0,4.0,1.0,
14,2006,66,WAS,NFL,16,5,11,0,0.313,-4.0,-2.1,-2.0,,,,,4.0,6.0,2.0,
15,2007,67,WAS,NFL,16,9,7,0,0.563,4.5,0.2,4.3,1.0,0.0,1.0,0.0,3.0,5.0,1.0,
16,16 yrs,16 yrs,,,248,154,94,0,0.621,,,,24.0,17.0,7.0,0.708,2.4,22.0,6.0,
