,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1985,44,HOU,NFL,2,0,2,0,0.0,-8.9,-4.9,-4.0,,,,,4.0,
1,1986,45,HOU,NFL,16,5,11,0,0.313,-3.9,-4.4,0.4,,,,,4.0,
2,1987,46,HOU,NFL,15,9,6,0,0.6,1.9,3.2,-1.2,2.0,1.0,1.0,0.5,2.0,
3,1988,47,HOU,NFL,16,10,6,0,0.625,3.0,5.3,-2.3,2.0,1.0,1.0,0.5,3.0,
4,1989,48,HOU,NFL,16,9,7,0,0.563,-2.5,2.8,-5.3,1.0,0.0,1.0,0.0,2.0,
5,1990,49,ATL,NFL,16,5,11,0,0.313,-2.1,0.9,-3.1,,,,,4.0,
6,1991,50,ATL,NFL,16,10,6,0,0.625,3.4,4.7,-1.3,2.0,1.0,1.0,0.5,2.0,
7,1992,51,ATL,NFL,16,6,10,0,0.375,-4.1,2.3,-6.4,,,,,3.0,
8,1993,52,ATL,NFL,16,6,10,0,0.375,-4.4,0.8,-5.2,,,,,3.0,
9,9 yrs,9 yrs,,,129,60,69,0,0.465,,,,7.0,3.0,4.0,0.429,3.0,
10,5 yrs,5 yrs,HOU,,65,33,32,0,0.508,,,,5.0,2.0,3.0,0.4,3.0,
11,4 yrs,4 yrs,ATL,,64,27,37,0,0.422,,,,2.0,1.0,1.0,0.5,3.0,
