,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1992,43,MIN,NFL,16,11,5,0,0.688,7.7,4.4,3.3,1.0,0.0,1.0,0.0,1.0,,,
1,1993,44,MIN,NFL,16,9,7,0,0.563,-0.1,-1.3,1.2,1.0,0.0,1.0,0.0,2.0,,,
2,1994,45,MIN,NFL,16,10,6,0,0.625,3.2,2.4,0.8,1.0,0.0,1.0,0.0,1.0,,,
3,1995,46,MIN,NFL,16,8,8,0,0.5,3.7,5.1,-1.4,,,,,4.0,,,
4,1996,47,MIN,NFL,16,9,7,0,0.563,-0.1,-0.9,0.7,1.0,0.0,1.0,0.0,2.0,,,
5,1997,48,MIN,NFL,16,9,7,0,0.563,-0.1,1.7,-1.8,2.0,1.0,1.0,0.5,4.0,,,
6,1998,49,MIN,NFL,16,15,1,0,0.938,14.9,13.2,1.6,2.0,1.0,1.0,0.5,1.0,,,
7,1999,50,MIN,NFL,16,10,6,0,0.625,4.4,5.2,-0.8,2.0,1.0,1.0,0.5,2.0,5.0,1.0,
8,2000,51,MIN,NFL,16,11,5,0,0.688,1.9,4.3,-2.3,2.0,1.0,1.0,0.5,1.0,7.0,5.0,
9,2001,52,MIN,NFL,15,5,10,0,0.333,-4.7,-0.8,-3.9,,,,,4.0,5.0,1.0,
10,2004,55,ARI,NFL,16,6,10,0,0.375,-4.9,-5.1,0.2,,,,,3.0,10.0,3.0,
11,2005,56,ARI,NFL,16,5,11,0,0.313,-5.0,-2.0,-3.0,,,,,3.0,7.0,1.0,
12,2006,57,ARI,NFL,16,5,11,0,0.313,-6.9,-2.6,-4.3,,,,,4.0,10.0,3.0,
13,13 yrs,13 yrs,,,207,113,94,0,0.546,,,,12.0,4.0,8.0,0.333,2.5,44.0,14.0,
14,10 yrs,10 yrs,MIN,,159,97,62,0,0.61,,,,12.0,4.0,8.0,0.333,2.2,17.0,7.0,
15,3 yrs,3 yrs,ARI,,48,16,32,0,0.333,,,,0.0,0.0,0.0,,3.3,27.0,7.0,
