,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1975,42,CLE,NFL,14,3,11,0,0.214,-6.8,-2.6,-4.2,,,,,4.0,
1,1976,43,CLE,NFL,14,9,5,0,0.643,-1.7,0.7,-2.4,,,,,3.0,
2,1977,44,CLE,NFL,13,6,7,0,0.462,2.5,2.4,0.1,,,,,4.0,
3,1980,47,CIN,NFL,16,6,10,0,0.375,-3.7,-4.5,0.8,,,,,4.0,
4,1981,48,CIN,NFL,16,12,4,0,0.75,5.5,4.5,1.0,3.0,2.0,1.0,0.667,1.0,AFC Champions
5,1982,49,CIN,NFL,9,7,2,0,0.778,3.6,3.5,0.2,1.0,0.0,1.0,0.0,1.0,
6,1983,50,CIN,NFL,16,7,9,0,0.438,0.5,-1.2,1.7,,,,,3.0,
7,1984,51,GNB,NFL,16,8,8,0,0.5,5.0,2.9,2.1,,,,,2.0,
8,1985,52,GNB,NFL,16,8,8,0,0.5,0.1,0.1,0.1,,,,,2.0,
9,1986,53,GNB,NFL,16,4,12,0,0.25,-9.6,-4.0,-5.6,,,,,4.0,
10,1987,54,GNB,NFL,15,5,9,1,0.367,-3.4,-5.3,1.9,,,,,3.0,
11,11 yrs,11 yrs,,,161,75,85,1,0.469,,,,4.0,2.0,2.0,0.5,2.8,
12,4 yrs,4 yrs,CIN,,57,32,25,0,0.561,,,,4.0,2.0,2.0,0.5,2.3,
13,4 yrs,4 yrs,GNB,,63,25,37,1,0.405,,,,0.0,0.0,0.0,,2.8,
14,3 yrs,3 yrs,CLE,,41,18,23,0,0.439,,,,0.0,0.0,0.0,,3.7,
