,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1980,47,STL,NFL,16,5,11,0,0.313,-2.4,-1.7,-0.7,,,,,4.0,
1,1981,48,STL,NFL,16,7,9,0,0.438,-4.7,0.1,-4.8,,,,,5.0,
2,1982,49,STL,NFL,9,5,4,0,0.556,-2.7,-4.1,1.4,1.0,0.0,1.0,0.0,3.0,
3,1983,50,STL,NFL,16,8,7,1,0.531,-1.1,2.5,-3.6,,,,,3.0,
4,1984,51,STL,NFL,16,9,7,0,0.563,5.4,6.2,-0.9,,,,,3.0,
5,1985,52,STL,NFL,16,5,11,0,0.313,-10.1,-4.5,-5.6,,,,,5.0,
6,1989,56,ATL,NFL,4,0,4,0,0.0,-9.1,-3.2,-5.9,,,,,4.0,
7,7 yrs,7 yrs,,,93,39,53,1,0.425,,,,1.0,0.0,1.0,0.0,3.9,
8,6 yrs,6 yrs,STL,,89,39,49,1,0.444,,,,1.0,0.0,1.0,0.0,3.8,
9,1 yr,1 yr,ATL,,4,0,4,0,0.0,,,,0.0,0.0,0.0,,4.0,
