,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2008,46,BAL,NFL,16,11,5,0,0.688,9.8,4.2,5.6,3.0,2.0,1.0,0.667,2.0,10,5,
1,2009,47,BAL,NFL,16,9,7,0,0.563,7.5,2.6,4.9,2.0,1.0,1.0,0.5,2.0,13,7,
2,2010,48,BAL,NFL,16,12,4,0,0.75,6.4,0.9,5.5,2.0,1.0,1.0,0.5,2.0,9,1,
3,2011,49,BAL,NFL,16,12,4,0,0.75,6.1,2.6,3.5,2.0,1.0,1.0,0.5,1.0,12,7,
4,2012,50,BAL,NFL,16,10,6,0,0.625,2.9,1.9,1.0,4.0,4.0,0.0,1.0,1.0,7,3,Super Bowl Champions
5,2013,51,BAL,NFL,16,8,8,0,0.5,-3.5,-5.0,1.4,,,,,3.0,12,7,
6,2014,52,BAL,NFL,16,10,6,0,0.625,4.6,1.8,2.8,2.0,1.0,1.0,0.5,3.0,9,2,
7,2015,53,BAL,NFL,16,5,11,0,0.313,-1.9,-0.7,-1.2,,,,,3.0,8,3,
8,2016,54,BAL,NFL,16,8,8,0,0.5,1.5,-1.1,2.6,,,,,2.0,5,2,
9,2017,55,BAL,NFL,16,9,7,0,0.563,3.4,2.2,1.2,,,,,2.0,7,5,
10,2018,56,BAL,NFL,16,10,6,0,0.625,7.0,0.6,6.4,1.0,0.0,1.0,0.0,1.0,7,4,
11,2019,57,BAL,NFL,16,14,2,0,0.875,15.6,11.0,4.7,1.0,0.0,1.0,0.0,1.0,6,0,
12,2020,58,BAL,NFL,16,11,5,0,0.688,8.3,3.9,4.3,2.0,1.0,1.0,0.5,2.0,6,3,
13,2021,59,BAL,NFL,17,8,9,0,0.471,-0.3,-0.3,0.0,,,,,4.0,6,3,
14,2022,60,BAL,NFL,17,10,7,0,0.588,3.1,-0.2,3.4,1.0,0.0,1.0,0.0,2.0,7,2,
15,2023,61,BAL,NFL,17,13,4,0,0.765,13.2,6.7,6.5,2.0,1.0,1.0,0.5,1.0,3,0,
16,16 yrs,16 yrs,,,259,160,99,0,0.618,,,,22.0,12.0,10.0,0.545,2.0,127,54,
