,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2000,45,NOR,NFL,16,10,6,0,0.625,0.9,-1.2,2.1,2.0,1.0,1.0,0.5,1.0,3,0,
1,2001,46,NOR,NFL,16,7,9,0,0.438,-4.8,-0.1,-4.7,,,,,3.0,9,2,
2,2002,47,NOR,NFL,16,9,7,0,0.563,2.4,5.8,-3.3,,,,,3.0,4,2,
3,2003,48,NOR,NFL,16,8,8,0,0.5,-0.3,0.1,-0.4,,,,,2.0,6,1,
4,2004,49,NOR,NFL,16,8,8,0,0.5,-5.6,-1.2,-4.3,,,,,2.0,3,0,
5,2005,50,NOR,NFL,16,3,13,0,0.188,-11.1,-6.2,-4.9,,,,,4.0,10,3,
6,2008,53,STL,NFL,12,2,10,0,0.167,-15.1,-8.1,-7.0,,,,,4.0,4,2,Coach starting Week 5
7,7 yrs,7 yrs,,,108,47,61,0,0.435,,,,2.0,1.0,1.0,0.5,2.7,39,10,
8,6 yrs,6 yrs,NOR,,96,45,51,0,0.469,,,,2.0,1.0,1.0,0.5,2.5,35,8,
9,1 yr,1 yr,STL,,12,2,10,0,0.167,,,,0.0,0.0,0.0,,4.0,4,2,
