,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1961,42,BOS,AFL,9,7,1,1,0.875,6.3,4.8,1.4,,,,,2.0,
1,1962,43,BOS,AFL,14,9,4,1,0.692,3.2,1.3,1.9,,,,,2.0,
2,1963,44,BOS,AFL,14,7,6,1,0.538,4.4,-0.5,4.9,2.0,1.0,1.0,0.5,1.0,
3,1964,45,BOS,AFL,14,10,3,1,0.769,4.3,2.6,1.7,,,,,2.0,
4,1965,46,BOS,AFL,14,4,8,2,0.333,-3.6,-4.1,0.5,,,,,3.0,
5,1966,47,BOS,AFL,14,8,4,2,0.667,2.5,-0.4,2.9,,,,,2.0,
6,1967,48,BOS,AFL,14,3,10,1,0.231,-6.7,-1.7,-5.0,,,,,5.0,
7,1968,49,BOS,AFL,14,4,10,0,0.286,-12.8,-5.9,-6.9,,,,,4.0,
8,1976,57,NYJ,NFL,1,0,1,0,0.0,-13.8,-7.1,-6.8,,,,,4.0,
9,9 yrs,9 yrs,,,108,52,47,9,0.525,,,,2.0,1.0,1.0,0.5,2.8,
10,8 yrs,8 yrs,BOS,,107,52,46,9,0.531,,,,2.0,1.0,1.0,0.5,2.6,
11,1 yr,1 yr,NYJ,,1,0,1,0,0.0,,,,0.0,0.0,0.0,,4.0,
