,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1999,49,CHI,NFL,16,6,10,0,0.375,-2.0,-3.0,1.0,,,,,5.0,5,2,
1,2000,50,CHI,NFL,16,5,11,0,0.313,-6.3,-6.4,0.1,,,,,5.0,5,2,
2,2001,51,CHI,NFL,16,13,3,0,0.813,7.9,0.9,7.1,1.0,0.0,1.0,0.0,1.0,4,1,
3,2002,52,CHI,NFL,16,4,12,0,0.25,-5.3,-4.4,-0.9,,,,,3.0,5,3,
4,2003,53,CHI,NFL,16,7,9,0,0.438,-3.5,-4.2,0.7,,,,,3.0,6,2,
5,2005,55,DET,NFL,5,1,4,0,0.2,-6.7,-4.3,-2.4,,,,,3.0,1,0,Coach starting week 13
6,2006,56,BUF,NFL,16,7,9,0,0.438,2.2,-0.2,2.4,,,,,3.0,4,0,
7,2007,57,BUF,NFL,16,7,9,0,0.438,-4.1,-5.6,1.5,,,,,2.0,12,9,
8,2008,58,BUF,NFL,16,7,9,0,0.438,-3.3,-2.8,-0.6,,,,,4.0,9,2,
9,2009,59,BUF,NFL,9,3,6,0,0.333,-1.8,-4.5,2.7,,,,,4.0,1,1,Fired after Week 10
10,10 yrs,10 yrs,,,142,60,82,0,0.423,,,,1.0,0.0,1.0,0.0,3.3,52,22,
11,5 yrs,5 yrs,CHI,,80,35,45,0,0.438,,,,1.0,0.0,1.0,0.0,3.4,25,10,
12,4 yrs,4 yrs,BUF,,57,24,33,0,0.421,,,,0.0,0.0,0.0,,3.3,26,12,
13,1 yr,1 yr,DET,,5,1,4,0,0.2,,,,0.0,0.0,0.0,,3.0,1,0,
