,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1989,46,DAL,NFL,16,1,15,0,0.063,-10.4,-7.6,-2.8,,,,,5.0,,,
1,1990,47,DAL,NFL,16,7,9,0,0.438,-3.7,-4.8,1.1,,,,,4.0,,,
2,1991,48,DAL,NFL,16,11,5,0,0.688,4.4,3.7,0.8,2.0,1.0,1.0,0.5,2.0,,,
3,1992,49,DAL,NFL,16,13,3,0,0.813,10.0,6.4,3.6,3.0,3.0,0.0,1.0,1.0,,,Super Bowl Champions
4,1993,50,DAL,NFL,16,12,4,0,0.75,9.6,4.9,4.7,3.0,3.0,0.0,1.0,1.0,,,Super Bowl Champions
5,1996,53,MIA,NFL,16,8,8,0,0.5,0.3,0.6,-0.4,,,,,4.0,,,
6,1997,54,MIA,NFL,16,9,7,0,0.563,1.3,1.0,0.3,1.0,0.0,1.0,0.0,2.0,,,
7,1998,55,MIA,NFL,16,10,6,0,0.625,5.9,-0.7,6.5,2.0,1.0,1.0,0.5,2.0,,,
8,1999,56,MIA,NFL,16,9,7,0,0.563,1.9,1.2,0.7,2.0,1.0,1.0,0.5,3.0,7.0,2.0,
9,9 yrs,9 yrs,,,144,80,64,0,0.556,,,,13.0,9.0,4.0,0.692,2.7,7.0,2.0,
10,5 yrs,5 yrs,DAL,,80,44,36,0,0.55,,,,8.0,7.0,1.0,0.875,2.6,,,
11,4 yrs,4 yrs,MIA,,64,36,28,0,0.563,,,,5.0,2.0,3.0,0.4,2.8,7.0,2.0,
