,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1973,41,RAM,NFL,14,12,2,0,0.857,13.4,8.2,5.2,1.0,0.0,1.0,0.0,1.0,
1,1974,42,RAM,NFL,14,10,4,0,0.714,3.9,-0.1,4.0,2.0,1.0,1.0,0.5,1.0,
2,1975,43,RAM,NFL,14,12,2,0,0.857,9.1,0.5,8.7,2.0,1.0,1.0,0.5,1.0,
3,1976,44,RAM,NFL,14,10,3,1,0.75,10.5,5.9,4.5,2.0,1.0,1.0,0.5,1.0,
4,1977,45,RAM,NFL,14,10,4,0,0.714,8.5,3.8,4.6,1.0,0.0,1.0,0.0,1.0,
5,1978,46,BUF,NFL,16,5,11,0,0.313,-3.3,-0.1,-3.2,,,,,4.0,
6,1979,47,BUF,NFL,16,7,9,0,0.438,-0.2,-3.3,3.1,,,,,4.0,
7,1980,48,BUF,NFL,16,11,5,0,0.688,3.9,-1.6,5.5,1.0,0.0,1.0,0.0,1.0,
8,1981,49,BUF,NFL,16,10,6,0,0.625,1.3,-2.5,3.9,2.0,1.0,1.0,0.5,3.0,
9,1982,50,BUF,NFL,9,4,5,0,0.444,1.5,-1.9,3.4,,,,,4.0,
10,1983,51,SEA,NFL,16,9,7,0,0.563,1.5,3.4,-2.0,3.0,2.0,1.0,0.667,2.0,
11,1984,52,SEA,NFL,16,12,4,0,0.75,9.0,5.4,3.5,2.0,1.0,1.0,0.5,2.0,
12,1985,53,SEA,NFL,16,8,8,0,0.5,4.3,0.3,4.1,,,,,3.0,
13,1986,54,SEA,NFL,16,10,6,0,0.625,6.4,2.4,4.0,,,,,3.0,
14,1987,55,SEA,NFL,15,9,6,0,0.6,1.9,2.4,-0.4,1.0,0.0,1.0,0.0,2.0,
15,1988,56,SEA,NFL,16,9,7,0,0.563,-0.7,1.2,-2.0,1.0,0.0,1.0,0.0,1.0,
16,1989,57,SEA,NFL,16,7,9,0,0.438,-2.8,-3.6,0.8,,,,,4.0,
17,1990,58,SEA,NFL,16,9,7,0,0.563,2.7,-0.5,3.3,,,,,3.0,
18,1991,59,SEA,NFL,16,7,9,0,0.438,1.2,-1.5,2.7,,,,,4.0,
19,1992,60,RAM,NFL,16,6,10,0,0.375,-2.9,1.1,-4.0,,,,,4.0,
20,1993,61,RAM,NFL,16,5,11,0,0.313,-8.4,-5.0,-3.4,,,,,4.0,
21,1994,62,RAM,NFL,16,4,12,0,0.25,-5.3,-3.2,-2.1,,,,,4.0,
22,22 yrs,22 yrs,,,334,186,147,1,0.558,,,,18.0,7.0,11.0,0.389,2.6,
23,9 yrs,9 yrs,SEA,,143,80,63,0,0.559,,,,7.0,3.0,4.0,0.429,2.7,
24,8 yrs,8 yrs,RAM,,118,69,48,1,0.589,,,,8.0,3.0,5.0,0.375,2.1,
25,5 yrs,5 yrs,BUF,,73,37,36,0,0.507,,,,3.0,1.0,2.0,0.333,3.2,
