,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2006,45,HOU,NFL,16,6,10,0,0.375,-4.5,-3.2,-1.3,,,,,4.0,7,3,
1,2007,46,HOU,NFL,16,8,8,0,0.5,0.0,2.5,-2.5,,,,,4.0,9,1,
2,2008,47,HOU,NFL,16,8,8,0,0.5,-0.4,2.8,-3.2,,,,,3.0,5,1,
3,2009,48,HOU,NFL,16,9,7,0,0.563,2.0,2.7,-0.7,,,,,2.0,6,3,
4,2010,49,HOU,NFL,16,6,10,0,0.375,-1.8,1.8,-3.7,,,,,3.0,5,2,
5,2011,50,HOU,NFL,16,10,6,0,0.625,4.5,1.4,3.2,2.0,1.0,1.0,0.5,1.0,7,2,
6,2012,51,HOU,NFL,16,12,4,0,0.75,3.5,1.8,1.7,2.0,1.0,1.0,0.5,1.0,5,2,
7,2013,52,HOU,NFL,13,2,11,0,0.154,-7.6,-5.0,-2.6,,,,,4.0,5,3,
8,2015,54,DEN,NFL,16,12,4,0,0.75,5.8,0.3,5.5,3.0,3.0,0.0,1.0,1.0,6,2,Super Bowl Champions
9,2016,55,DEN,NFL,16,9,7,0,0.563,4.0,-2.0,6.1,,,,,3.0,4,4,
10,10 yrs,10 yrs,,,157,82,75,0,0.522,,,,7.0,5.0,2.0,0.714,2.6,59,23,
11,8 yrs,8 yrs,HOU,,125,61,64,0,0.488,,,,4.0,2.0,2.0,0.5,2.8,49,17,
12,2 yrs,2 yrs,DEN,,32,21,11,0,0.656,,,,3.0,3.0,0.0,1.0,2.0,10,6,
