,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1952,35,CRD,NFL,12,4,8,0,0.333,-4.1,-8.5,4.4,,,,,5.0,
1,1954,37,WAS,NFL,12,3,9,0,0.25,-19.7,-3.6,-16.1,,,,,5.0,
2,1955,38,WAS,NFL,12,8,4,0,0.667,4.3,1.0,3.3,,,,,2.0,
3,1956,39,WAS,NFL,12,6,6,0,0.5,-3.7,-3.7,-0.1,,,,,3.0,
4,1957,40,WAS,NFL,12,5,6,1,0.455,1.4,2.3,-0.9,,,,,4.0,
5,1958,41,WAS,NFL,12,4,7,1,0.364,-5.2,-5.1,-0.2,,,,,4.0,
6,1964,47,PHI,NFL,14,6,8,0,0.429,-3.6,-1.5,-2.0,,,,,3.0,
7,1965,48,PHI,NFL,14,5,9,0,0.357,-6.0,1.0,-7.0,,,,,5.0,
8,1966,49,PHI,NFL,14,9,5,0,0.643,-3.0,-0.8,-2.2,,,,,2.0,
9,1967,50,PHI,NFL,14,6,7,1,0.462,-5.3,2.2,-7.5,,,,,2.0,
10,1968,51,PHI,NFL,14,2,12,0,0.143,-10.8,-6.6,-4.2,,,,,4.0,
11,11 yrs,11 yrs,,,142,58,81,3,0.417,,,,0.0,0.0,0.0,,3.5,
12,5 yrs,5 yrs,PHI,,70,28,41,1,0.406,,,,0.0,0.0,0.0,,3.2,
13,5 yrs,5 yrs,WAS,,60,26,32,2,0.448,,,,0.0,0.0,0.0,,3.6,
14,1 yr,1 yr,CRD,,12,4,8,0,0.333,,,,0.0,0.0,0.0,,5.0,
