,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1960,36,DAL,NFL,12,0,11,1,0.0,-14.8,-6.1,-8.7,,,,,7.0,
1,1961,37,DAL,NFL,14,4,9,1,0.308,-12.4,-5.9,-6.4,,,,,6.0,
2,1962,38,DAL,NFL,14,5,8,1,0.385,-4.0,4.5,-8.5,,,,,5.0,
3,1963,39,DAL,NFL,14,4,10,0,0.286,-5.0,-0.5,-4.5,,,,,5.0,
4,1964,40,DAL,NFL,14,5,8,1,0.385,-5.4,-6.2,0.8,,,,,5.0,
5,1965,41,DAL,NFL,14,7,7,0,0.5,-3.3,-3.1,-0.2,,,,,2.0,
6,1966,42,DAL,NFL,14,10,3,1,0.769,10.7,7.0,3.7,1.0,0.0,1.0,0.0,1.0,
7,1967,43,DAL,NFL,14,9,5,0,0.643,2.9,0.1,2.9,2.0,1.0,1.0,0.5,1.0,
8,1968,44,DAL,NFL,14,12,2,0,0.857,13.8,8.4,5.5,1.0,0.0,1.0,0.0,1.0,
9,1969,45,DAL,NFL,14,11,2,1,0.846,6.9,2.5,4.4,1.0,0.0,1.0,0.0,1.0,
10,1970,46,DAL,NFL,14,10,4,0,0.714,7.0,2.5,4.5,3.0,2.0,1.0,0.667,1.0,NFC Champions
11,1971,47,DAL,NFL,14,11,3,0,0.786,9.9,8.3,1.6,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions
12,1972,48,DAL,NFL,14,10,4,0,0.714,6.1,3.4,2.7,2.0,1.0,1.0,0.5,2.0,
13,1973,49,DAL,NFL,14,10,4,0,0.714,12.8,6.8,6.0,2.0,1.0,1.0,0.5,1.0,
14,1974,50,DAL,NFL,14,8,6,0,0.571,5.9,4.0,1.9,,,,,3.0,
15,1975,51,DAL,NFL,14,10,4,0,0.714,4.1,4.0,0.1,3.0,2.0,1.0,0.667,2.0,NFC Champions
16,1976,52,DAL,NFL,14,11,3,0,0.786,4.5,0.5,4.0,1.0,0.0,1.0,0.0,1.0,
17,1977,53,DAL,NFL,14,12,2,0,0.857,7.8,7.6,0.2,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions
18,1978,54,DAL,NFL,16,12,4,0,0.75,11.0,5.8,5.2,3.0,2.0,1.0,0.667,1.0,NFC Champions
19,1979,55,DAL,NFL,16,11,5,0,0.688,3.3,3.0,0.3,1.0,0.0,1.0,0.0,1.0,
20,1980,56,DAL,NFL,16,12,4,0,0.75,8.0,7.8,0.1,3.0,2.0,1.0,0.667,2.0,
21,1981,57,DAL,NFL,16,12,4,0,0.75,6.1,2.9,3.2,2.0,1.0,1.0,0.5,1.0,
22,1982,58,DAL,NFL,9,6,3,0,0.667,8.2,5.2,3.0,3.0,2.0,1.0,0.667,2.0,
23,1983,59,DAL,NFL,16,12,4,0,0.75,8.5,8.6,-0.1,1.0,0.0,1.0,0.0,2.0,
24,1984,60,DAL,NFL,16,9,7,0,0.563,1.0,-1.4,2.4,,,,,4.0,
25,1985,61,DAL,NFL,16,10,6,0,0.625,0.2,0.6,-0.3,1.0,0.0,1.0,0.0,1.0,
26,1986,62,DAL,NFL,16,7,9,0,0.438,2.1,3.0,-0.9,,,,,3.0,
27,1987,63,DAL,NFL,15,7,8,0,0.467,-2.0,-0.2,-1.8,,,,,2.0,
28,1988,64,DAL,NFL,16,3,13,0,0.188,-6.1,-3.8,-2.3,,,,,5.0,
29,29 yrs,29 yrs,,,418,250,162,6,0.607,,,,36.0,20.0,16.0,0.556,2.4,
