,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2003,45,CIN,NFL,16,8,8,0,0.5,-2.4,1.1,-3.5,,,,,2.0,5,1,
1,2004,46,CIN,NFL,16,8,8,0,0.5,2.7,4.3,-1.6,,,,,3.0,3,2,
2,2005,47,CIN,NFL,16,11,5,0,0.688,3.8,6.5,-2.7,1.0,0.0,1.0,0.0,1.0,4,1,
3,2006,48,CIN,NFL,16,8,8,0,0.5,4.1,4.0,0.0,,,,,2.0,7,2,
4,2007,49,CIN,NFL,16,7,9,0,0.438,-2.4,1.6,-4.0,,,,,3.0,11,1,
5,2008,50,CIN,NFL,16,4,11,1,0.281,-7.0,-6.9,-0.1,,,,,3.0,5,4,
6,2009,51,CIN,NFL,16,10,6,0,0.625,0.7,-2.5,3.2,1.0,0.0,1.0,0.0,1.0,6,3,
7,2010,52,CIN,NFL,16,4,12,0,0.25,-1.4,0.4,-1.9,,,,,4.0,8,4,
8,2011,53,CIN,NFL,16,9,7,0,0.563,0.5,0.7,-0.2,1.0,0.0,1.0,0.0,3.0,5,2,
9,2012,54,CIN,NFL,16,10,6,0,0.625,2.1,1.2,0.9,1.0,0.0,1.0,0.0,2.0,3,0,
10,2013,55,CIN,NFL,16,11,5,0,0.688,5.4,2.3,3.0,1.0,0.0,1.0,0.0,1.0,9,7,
11,2014,56,CIN,NFL,16,10,5,1,0.656,0.7,-0.5,1.3,1.0,0.0,1.0,0.0,2.0,5,4,
12,2015,57,CIN,NFL,16,12,4,0,0.75,10.6,4.8,5.8,1.0,0.0,1.0,0.0,1.0,10,7,
13,2016,58,CIN,NFL,16,6,9,1,0.406,1.0,-1.5,2.5,,,,,3.0,3,0,
14,2017,59,CIN,NFL,16,7,9,0,0.438,-5.0,-4.1,-0.9,,,,,3.0,7,5,
15,2018,60,CIN,NFL,16,6,10,0,0.375,-3.4,0.0,-3.4,,,,,4.0,6,3,
16,16 yrs,16 yrs,,,256,131,122,3,0.518,,,,7.0,0.0,7.0,0.0,2.4,97,46,
