,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1959,46,GNB,NFL,12,7,5,0,0.583,1.6,0.0,1.6,,,,,3.0,
1,1960,47,GNB,NFL,12,8,4,0,0.667,7.5,5.5,2.0,1.0,0.0,1.0,0.0,1.0,
2,1961,48,GNB,NFL,14,11,3,0,0.786,13.6,7.1,6.5,1.0,1.0,0.0,1.0,1.0,NFL Champions
3,1962,49,GNB,NFL,14,13,1,0,0.929,19.7,8.3,11.3,1.0,1.0,0.0,1.0,1.0,NFL Champions
4,1963,50,GNB,NFL,14,11,2,1,0.846,10.6,4.5,6.0,,,,,2.0,
5,1964,51,GNB,NFL,14,8,5,1,0.615,9.3,3.6,5.7,,,,,2.0,
6,1965,52,GNB,NFL,14,10,3,1,0.769,11.7,1.2,10.5,2.0,2.0,0.0,1.0,1.0,NFL Champions
7,1966,53,GNB,NFL,14,12,2,0,0.857,13.5,3.5,10.0,2.0,2.0,0.0,1.0,1.0,Super Bowl Champions
8,1967,54,GNB,NFL,14,9,4,1,0.692,9.4,3.1,6.3,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions
9,1969,56,WAS,NFL,14,7,5,2,0.583,-3.0,-1.0,-2.0,,,,,2.0,
10,10 yrs,10 yrs,,,136,96,34,6,0.738,,,,10.0,9.0,1.0,0.9,1.5,
11,9 yrs,9 yrs,GNB,,122,89,29,4,0.754,,,,10.0,9.0,1.0,0.9,1.4,
12,1 yr,1 yr,WAS,,14,7,5,2,0.583,,,,0.0,0.0,0.0,,2.0,
