,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1969,33,OAK,AFL,14,12,1,1,0.923,9.0,5.6,3.4,2.0,1.0,1.0,0.5,1.0,
1,1970,34,OAK,NFL,14,8,4,2,0.667,1.0,2.3,-1.3,2.0,1.0,1.0,0.5,1.0,
2,1971,35,OAK,NFL,14,8,4,2,0.667,3.7,4.8,-1.1,,,,,2.0,
3,1972,36,OAK,NFL,14,10,3,1,0.75,8.0,5.0,3.0,1.0,0.0,1.0,0.0,1.0,
4,1973,37,OAK,NFL,14,9,4,1,0.679,6.7,0.0,6.7,2.0,1.0,1.0,0.5,1.0,
5,1974,38,OAK,NFL,14,12,2,0,0.857,9.0,6.4,2.7,2.0,1.0,1.0,0.5,1.0,
6,1975,39,OAK,NFL,14,11,3,0,0.786,6.8,5.5,1.3,2.0,1.0,1.0,0.5,1.0,
7,1976,40,OAK,NFL,14,13,1,0,0.929,8.5,6.3,2.2,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions
8,1977,41,OAK,NFL,14,11,3,0,0.786,10.4,8.8,1.6,2.0,1.0,1.0,0.5,2.0,
9,1978,42,OAK,NFL,16,9,7,0,0.563,2.6,1.6,1.1,,,,,2.0,
10,10 yrs,10 yrs,,,142,103,32,7,0.759,,,,16.0,9.0,7.0,0.563,1.3,
