,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1975,44,BAL,NFL,14,10,4,0,0.714,8.6,6.3,2.2,1.0,0.0,1.0,0.0,1.0,
1,1976,45,BAL,NFL,14,11,3,0,0.786,9.8,9.3,0.4,1.0,0.0,1.0,0.0,1.0,
2,1977,46,BAL,NFL,14,10,4,0,0.714,5.0,3.6,1.5,1.0,0.0,1.0,0.0,1.0,
3,1978,47,BAL,NFL,16,5,11,0,0.313,-8.8,-2.8,-6.0,,,,,5.0,
4,1979,48,BAL,NFL,16,5,11,0,0.313,-3.5,-2.0,-1.5,,,,,5.0,
5,1992,61,IND,NFL,16,9,7,0,0.563,-7.0,-6.0,-1.0,,,,,3.0,
6,1993,62,IND,NFL,16,4,12,0,0.25,-11.3,-6.2,-5.1,,,,,5.0,
7,1994,63,IND,NFL,16,8,8,0,0.5,-1.5,-1.3,-0.2,,,,,3.0,
8,1995,64,IND,NFL,16,9,7,0,0.563,-1.3,-1.8,0.4,3.0,2.0,1.0,0.667,2.0,
9,1996,65,BAL,NFL,16,4,12,0,0.25,-2.9,3.9,-6.8,,,,,5.0,
10,1997,66,BAL,NFL,16,6,9,1,0.406,-0.6,-0.4,-0.2,,,,,5.0,
11,1998,67,BAL,NFL,16,6,10,0,0.375,-5.4,-5.2,-0.2,,,,,4.0,
12,12 yrs,12 yrs,,,186,87,98,1,0.47,,,,6.0,2.0,4.0,0.333,3.3,
13,9 yrs,9 yrs,BAL-IND,,138,71,67,0,0.514,,,,6.0,2.0,4.0,0.333,2.9,
14,3 yrs,3 yrs,BAL,,48,16,31,1,0.344,,,,0.0,0.0,0.0,,4.7,
