,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1997,42,SFO,NFL,16,13,3,0,0.813,5.1,2.4,2.7,2.0,1.0,1.0,0.5,1.0,,,
1,1998,43,SFO,NFL,16,12,4,0,0.75,10.6,8.8,1.8,2.0,1.0,1.0,0.5,2.0,,,
2,1999,44,SFO,NFL,16,4,12,0,0.25,-11.3,-4.5,-6.8,,,,,4.0,3.0,2.0,
3,2000,45,SFO,NFL,16,6,10,0,0.375,-3.8,1.7,-5.5,,,,,4.0,6.0,1.0,
4,2001,46,SFO,NFL,16,12,4,0,0.75,6.8,4.2,2.7,1.0,0.0,1.0,0.0,2.0,4.0,2.0,
5,2002,47,SFO,NFL,16,10,6,0,0.625,0.6,0.7,-0.1,2.0,1.0,1.0,0.5,1.0,10.0,7.0,
6,2003,48,DET,NFL,16,5,11,0,0.313,-5.8,-4.3,-1.6,,,,,4.0,2.0,0.0,
7,2004,49,DET,NFL,16,6,10,0,0.375,-5.2,-3.8,-1.4,,,,,3.0,5.0,2.0,
8,2005,50,DET,NFL,11,4,7,0,0.364,-6.7,-4.3,-2.4,,,,,3.0,4.0,1.0,Fired after week 12
9,9 yrs,9 yrs,,,139,72,67,0,0.518,,,,7.0,3.0,4.0,0.429,2.7,34.0,15.0,
10,6 yrs,6 yrs,SFO,,96,57,39,0,0.594,,,,7.0,3.0,4.0,0.429,2.3,23.0,12.0,
11,3 yrs,3 yrs,DET,,43,15,28,0,0.349,,,,0.0,0.0,0.0,,3.3,11.0,3.0,
