,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1982,41,NWE,NFL,9,5,4,0,0.556,-2.4,-3.7,1.3,1.0,0.0,1.0,0.0,3.0,
1,1983,42,NWE,NFL,16,8,8,0,0.5,-1.0,-4.7,3.7,,,,,2.0,
2,1984,43,NWE,NFL,8,5,3,0,0.625,-0.1,1.0,-1.1,,,,,2.0,
3,1986,45,IND,NFL,3,3,0,0,1.0,-10.4,-6.6,-3.8,,,,,5.0,
4,1987,46,IND,NFL,15,9,6,0,0.6,4.3,-1.3,5.5,1.0,0.0,1.0,0.0,1.0,
5,1988,47,IND,NFL,16,9,7,0,0.563,3.2,2.9,0.3,,,,,2.0,
6,1989,48,IND,NFL,16,8,8,0,0.5,-0.5,-2.7,2.2,,,,,2.0,
7,1990,49,IND,NFL,16,7,9,0,0.438,-3.9,-2.7,-1.2,,,,,3.0,
8,1991,50,IND,NFL,5,0,5,0,0.0,-17.3,-11.5,-5.7,,,,,5.0,
9,9 yrs,9 yrs,,,104,54,50,0,0.519,,,,2.0,0.0,2.0,0.0,2.8,
10,6 yrs,6 yrs,IND,,71,36,35,0,0.507,,,,1.0,0.0,1.0,0.0,3.0,
11,3 yrs,3 yrs,NWE,,33,18,15,0,0.545,,,,1.0,0.0,1.0,0.0,2.3,
