,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1986,51,NOR,NFL,16,7,9,0,0.438,0.0,-2.5,2.5,,,,,4.0,,,
1,1987,52,NOR,NFL,15,12,3,0,0.8,10.1,6.8,3.3,1.0,0.0,1.0,0.0,2.0,,,
2,1988,53,NOR,NFL,16,10,6,0,0.625,1.5,-1.0,2.6,,,,,3.0,,,
3,1989,54,NOR,NFL,16,9,7,0,0.563,4.6,2.3,2.2,,,,,3.0,,,
4,1990,55,NOR,NFL,16,8,8,0,0.5,-1.3,-4.7,3.4,1.0,0.0,1.0,0.0,2.0,,,
5,1991,56,NOR,NFL,16,11,5,0,0.688,9.0,2.8,6.3,1.0,0.0,1.0,0.0,1.0,,,
6,1992,57,NOR,NFL,16,12,4,0,0.75,7.8,0.7,7.1,1.0,0.0,1.0,0.0,2.0,,,
7,1993,58,NOR,NFL,16,8,8,0,0.5,-1.3,0.7,-2.1,,,,,2.0,,,
8,1994,59,NOR,NFL,16,7,9,0,0.438,-3.6,1.0,-4.6,,,,,2.0,,,
9,1995,60,NOR,NFL,16,7,9,0,0.438,-2.2,-1.7,-0.4,,,,,5.0,,,
10,1996,61,NOR,NFL,8,2,6,0,0.25,-8.1,-7.1,-1.0,,,,,5.0,,,
11,1998,63,IND,NFL,16,3,13,0,0.188,-5.4,-0.1,-5.3,,,,,5.0,,,
12,1999,64,IND,NFL,16,13,3,0,0.813,6.1,6.6,-0.5,1.0,0.0,1.0,0.0,1.0,6.0,0.0,
13,2000,65,IND,NFL,16,10,6,0,0.625,7.9,7.1,0.8,1.0,0.0,1.0,0.0,2.0,7.0,1.0,
14,2001,66,IND,NFL,16,6,10,0,0.375,-3.8,6.1,-9.8,,,,,4.0,6.0,3.0,
15,15 yrs,15 yrs,,,231,125,106,0,0.541,,,,6.0,0.0,6.0,0.0,2.9,19.0,4.0,
16,11 yrs,11 yrs,NOR,,167,93,74,0,0.557,,,,4.0,0.0,4.0,0.0,2.8,,,
17,4 yrs,4 yrs,IND,,64,32,32,0,0.5,,,,2.0,0.0,2.0,0.0,3.0,19.0,4.0,
