,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1930,32,NYG,NFL,2,2,0,0,1.0,11.7,7.8,3.9,,,,,2.0,co-coach with Benny Friedman
1,1931,33,NYG,NFL,14,7,6,1,0.538,3.8,1.4,2.5,,,,,5.0,
2,1932,34,NYG,NFL,12,4,6,2,0.4,-1.5,0.0,-1.5,,,,,5.0,
3,1933,35,NYG,NFL,14,11,3,0,0.786,10.0,7.3,2.6,1.0,0.0,1.0,0.0,1.0,
4,1934,36,NYG,NFL,13,8,5,0,0.615,3.9,0.9,2.9,1.0,1.0,0.0,1.0,1.0,NFL Champions
5,1935,37,NYG,NFL,12,9,3,0,0.75,3.9,2.9,1.0,1.0,0.0,1.0,0.0,1.0,
6,1936,38,NYG,NFL,12,5,6,1,0.455,-4.7,-2.6,-2.1,,,,,3.0,
7,1937,39,NYG,NFL,11,6,3,2,0.667,0.7,-2.1,2.8,,,,,2.0,
8,1938,40,NYG,NFL,11,8,2,1,0.8,7.6,2.4,5.2,1.0,1.0,0.0,1.0,1.0,NFL Champions
9,1939,41,NYG,NFL,11,9,1,1,0.9,4.4,-1.8,6.2,1.0,0.0,1.0,0.0,1.0,
10,1940,42,NYG,NFL,11,6,4,1,0.6,-1.1,-4.1,3.0,,,,,3.0,
11,1941,43,NYG,NFL,11,8,3,0,0.727,4.8,3.3,1.5,1.0,0.0,1.0,0.0,1.0,
12,1942,44,NYG,NFL,11,5,5,1,0.5,3.0,-1.3,4.4,,,,,3.0,
13,1943,45,NYG,NFL,10,6,3,1,0.667,1.2,-0.4,1.6,1.0,0.0,1.0,0.0,1.0,
14,1944,46,NYG,NFL,10,8,1,1,0.889,9.9,1.2,8.7,1.0,0.0,1.0,0.0,1.0,
15,1945,47,NYG,NFL,10,3,6,1,0.333,-1.7,-0.1,-1.6,,,,,3.0,
16,1946,48,NYG,NFL,11,7,3,1,0.7,6.5,2.3,4.3,1.0,0.0,1.0,0.0,1.0,
17,1947,49,NYG,NFL,12,2,8,2,0.2,-11.4,-6.7,-4.7,,,,,5.0,
18,1948,50,NYG,NFL,12,4,8,0,0.333,-6.5,3.4,-9.9,,,,,3.0,
19,1949,51,NYG,NFL,12,6,6,0,0.5,-2.0,1.7,-3.7,,,,,3.0,
20,1950,52,NYG,NFL,12,10,2,0,0.833,12.6,1.4,11.2,1.0,0.0,1.0,0.0,1.0,
21,1951,53,NYG,NFL,12,9,2,1,0.818,5.7,-1.6,7.3,,,,,2.0,
22,1952,54,NYG,NFL,12,7,5,0,0.583,-0.8,-2.9,2.1,,,,,2.0,
23,1953,55,NYG,NFL,12,3,9,0,0.25,-5.5,-5.2,-0.3,,,,,5.0,
24,24 yrs,24 yrs,,,270,153,100,17,0.605,,,,10.0,2.0,8.0,0.2,2.3,
