,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1983,42,NYG,NFL,16,3,12,1,0.219,-2.1,-5.5,3.4,,,,,5.0,,,
1,1984,43,NYG,NFL,16,9,7,0,0.563,0.8,-2.2,3.1,2.0,1.0,1.0,0.5,2.0,,,
2,1985,44,NYG,NFL,16,10,6,0,0.625,3.9,2.1,1.8,2.0,1.0,1.0,0.5,2.0,,,
3,1986,45,NYG,NFL,16,14,2,0,0.875,9.0,3.2,5.8,3.0,3.0,0.0,1.0,1.0,,,Super Bowl Champions
4,1987,46,NYG,NFL,15,6,9,0,0.4,-0.7,-2.9,2.2,,,,,5.0,,,
5,1988,47,NYG,NFL,16,10,6,0,0.625,2.2,1.5,0.7,,,,,2.0,,,
6,1989,48,NYG,NFL,16,12,4,0,0.75,6.4,1.9,4.6,1.0,0.0,1.0,0.0,1.0,,,
7,1990,49,NYG,NFL,16,13,3,0,0.813,7.7,0.0,7.6,3.0,3.0,0.0,1.0,1.0,,,Super Bowl Champions
8,1993,52,NWE,NFL,16,5,11,0,0.313,-3.8,-4.0,0.3,,,,,4.0,,,
9,1994,53,NWE,NFL,16,10,6,0,0.625,3.2,1.9,1.3,1.0,0.0,1.0,0.0,2.0,,,
10,1995,54,NWE,NFL,16,6,10,0,0.375,-5.4,-2.8,-2.6,,,,,4.0,,,
11,1996,55,NWE,NFL,16,11,5,0,0.688,5.1,4.9,0.2,3.0,2.0,1.0,0.667,1.0,,,AFC Champions
12,1997,56,NYJ,NFL,16,9,7,0,0.563,2.9,0.1,2.8,,,,,3.0,,,
13,1998,57,NYJ,NFL,16,12,4,0,0.75,11.2,5.4,5.8,2.0,1.0,1.0,0.5,1.0,,,
14,1999,58,NYJ,NFL,16,8,8,0,0.5,3.1,0.2,2.9,,,,,4.0,5.0,2.0,
15,2003,62,DAL,NFL,16,10,6,0,0.625,-0.5,-3.2,2.7,1.0,0.0,1.0,0.0,2.0,6.0,3.0,
16,2004,63,DAL,NFL,16,6,10,0,0.375,-7.8,-3.0,-4.8,,,,,3.0,5.0,0.0,
17,2005,64,DAL,NFL,16,9,7,0,0.563,3.2,-0.1,3.2,,,,,3.0,6.0,3.0,
18,2006,65,DAL,NFL,16,9,7,0,0.563,3.7,5.0,-1.3,1.0,0.0,1.0,0.0,2.0,9.0,6.0,
19,19 yrs,19 yrs,,,303,172,130,1,0.569,,,,19.0,11.0,8.0,0.579,2.5,31.0,14.0,
20,8 yrs,8 yrs,NYG,,127,77,49,1,0.61,,,,11.0,8.0,3.0,0.727,2.4,,,
21,4 yrs,4 yrs,DAL,,64,34,30,0,0.531,,,,2.0,0.0,2.0,0.0,2.5,26.0,12.0,
22,4 yrs,4 yrs,NWE,,64,32,32,0,0.5,,,,4.0,2.0,2.0,0.5,2.8,,,
23,3 yrs,3 yrs,NYJ,,48,29,19,0,0.604,,,,2.0,1.0,1.0,0.5,2.7,5.0,2.0,
