,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1975,39,CHI,NFL,14,4,10,0,0.286,-11.5,-4.9,-6.6,,,,,3.0,
1,1976,40,CHI,NFL,14,7,7,0,0.5,4.6,0.3,4.2,,,,,2.0,
2,1977,41,CHI,NFL,14,9,5,0,0.643,-3.6,0.0,-3.6,1.0,0.0,1.0,0.0,2.0,
3,1978,42,WAS,NFL,16,8,8,0,0.5,-0.4,-1.1,0.7,,,,,3.0,
4,1979,43,WAS,NFL,16,10,6,0,0.625,2.5,0.9,1.5,,,,,3.0,
5,1980,44,WAS,NFL,16,6,10,0,0.375,-1.1,-4.4,3.3,,,,,3.0,
6,1990,54,HOU,NFL,16,9,7,0,0.563,5.2,4.9,0.3,1.0,0.0,1.0,0.0,2.0,
7,1991,55,HOU,NFL,16,11,5,0,0.688,8.4,4.9,3.4,2.0,1.0,1.0,0.5,1.0,
8,1992,56,HOU,NFL,16,10,6,0,0.625,5.5,3.0,2.6,1.0,0.0,1.0,0.0,2.0,
9,1993,57,HOU,NFL,16,12,4,0,0.75,7.2,4.1,3.1,1.0,0.0,1.0,0.0,1.0,
10,1994,58,HOU,NFL,10,1,9,0,0.1,-7.3,-4.7,-2.6,,,,,4.0,
11,11 yrs,11 yrs,,,164,87,77,0,0.53,,,,6.0,1.0,5.0,0.167,2.4,
12,5 yrs,5 yrs,HOU,,74,43,31,0,0.581,,,,5.0,1.0,4.0,0.2,2.0,
13,3 yrs,3 yrs,CHI,,42,20,22,0,0.476,,,,1.0,0.0,1.0,0.0,2.3,
14,3 yrs,3 yrs,WAS,,48,24,24,0,0.5,,,,0.0,0.0,0.0,,3.0,
