,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1949,36,CRD,NFL,12,6,5,1,0.545,4.7,7.8,-3.1,,,,,3.0,co-coach with Phil Handler
1,1951,38,DET,NFL,12,7,4,1,0.636,4.3,3.7,0.5,,,,,2.0,
2,1952,39,DET,NFL,12,9,3,0,0.75,11.3,4.3,6.9,2.0,2.0,0.0,1.0,1.0,NFL Champions
3,1953,40,DET,NFL,12,10,2,0,0.833,3.4,-0.6,4.0,1.0,1.0,0.0,1.0,1.0,NFL Champions
4,1954,41,DET,NFL,12,9,2,1,0.818,14.9,7.6,7.3,1.0,0.0,1.0,0.0,1.0,
5,1955,42,DET,NFL,12,3,9,0,0.25,-6.5,-3.2,-3.4,,,,,6.0,
6,1956,43,DET,NFL,12,9,3,0,0.75,8.7,2.0,6.7,,,,,2.0,
7,1957,44,PIT,NFL,12,6,6,0,0.5,-1.7,-7.0,5.3,,,,,3.0,
8,1958,45,PIT,NFL,12,7,4,1,0.636,0.9,-1.2,2.1,,,,,3.0,
9,1959,46,PIT,NFL,12,6,5,1,0.545,1.1,-0.7,1.9,,,,,4.0,
10,1960,47,PIT,NFL,12,5,6,1,0.455,-0.7,-1.2,0.4,,,,,5.0,
11,1961,48,PIT,NFL,14,6,8,0,0.429,-1.7,-1.5,-0.3,,,,,5.0,
12,1962,49,PIT,NFL,14,9,5,0,0.643,-6.7,-2.1,-4.6,,,,,2.0,
13,1963,50,PIT,NFL,14,7,4,3,0.636,2.9,1.2,1.7,,,,,4.0,
14,1964,51,PIT,NFL,14,5,9,0,0.357,-6.9,-5.9,-1.0,,,,,6.0,
15,15 yrs,15 yrs,,,188,104,75,9,0.581,,,,4.0,3.0,1.0,0.75,3.2,
16,8 yrs,8 yrs,PIT,,104,51,47,6,0.52,,,,0.0,0.0,0.0,,4.0,
17,6 yrs,6 yrs,DET,,72,47,23,2,0.671,,,,4.0,3.0,1.0,0.75,2.2,
18,1 yr,1 yr,CRD,,12,6,5,1,0.545,,,,0.0,0.0,0.0,,3.0,
