,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1979,38,NYG,NFL,16,6,10,0,0.375,-6.1,-5.4,-0.8,,,,,4.0,
1,1980,39,NYG,NFL,16,4,12,0,0.25,-9.7,-4.3,-5.5,,,,,5.0,
2,1981,40,NYG,NFL,16,9,7,0,0.563,3.4,-2.2,5.5,2.0,1.0,1.0,0.5,3.0,
3,1982,41,NYG,NFL,9,4,5,0,0.444,1.0,-1.9,2.9,,,,,4.0,
4,1987,46,TAM,NFL,15,4,11,0,0.267,-5.8,-3.1,-2.7,,,,,4.0,
5,1988,47,TAM,NFL,16,5,11,0,0.313,-4.1,-1.9,-2.2,,,,,3.0,
6,1989,48,TAM,NFL,16,5,11,0,0.313,-5.1,-0.4,-4.7,,,,,5.0,
7,1990,49,TAM,NFL,13,5,8,0,0.385,-7.1,-4.0,-3.2,,,,,2.0,
8,8 yrs,8 yrs,,,117,42,75,0,0.359,,,,2.0,1.0,1.0,0.5,3.8,
9,4 yrs,4 yrs,NYG,,57,23,34,0,0.404,,,,2.0,1.0,1.0,0.5,4.0,
10,4 yrs,4 yrs,TAM,,60,19,41,0,0.317,,,,0.0,0.0,0.0,,3.5,
