,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1975,52,HOU,NFL,14,10,4,0,0.714,6.4,1.2,5.2,,,,,3.0,
1,1976,53,HOU,NFL,14,5,9,0,0.357,-1.8,-2.7,1.0,,,,,4.0,
2,1977,54,HOU,NFL,14,8,6,0,0.571,6.6,4.4,2.3,,,,,3.0,
3,1978,55,HOU,NFL,16,10,6,0,0.625,-0.4,-0.6,0.2,3.0,2.0,1.0,0.667,2.0,
4,1979,56,HOU,NFL,16,11,5,0,0.688,4.4,2.9,1.4,3.0,2.0,1.0,0.667,2.0,
5,1980,57,HOU,NFL,16,11,5,0,0.688,1.6,-2.7,4.4,1.0,0.0,1.0,0.0,2.0,
6,1981,58,NOR,NFL,16,4,12,0,0.25,-9.5,-7.2,-2.3,,,,,4.0,
7,1982,59,NOR,NFL,9,4,5,0,0.444,-3.8,-5.7,1.9,,,,,2.0,
8,1983,60,NOR,NFL,16,8,8,0,0.5,0.0,-1.1,1.1,,,,,3.0,
9,1984,61,NOR,NFL,16,7,9,0,0.438,-2.9,-1.7,-1.2,,,,,3.0,
10,1985,62,NOR,NFL,12,4,8,0,0.333,-6.8,-3.0,-3.9,,,,,3.0,
11,11 yrs,11 yrs,,,159,82,77,0,0.516,,,,7.0,4.0,3.0,0.571,2.8,
12,6 yrs,6 yrs,HOU,,90,55,35,0,0.611,,,,7.0,4.0,3.0,0.571,2.7,
13,5 yrs,5 yrs,NOR,,69,27,42,0,0.391,,,,0.0,0.0,0.0,,3.0,
