,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1985,38,NOR,NFL,4,1,3,0,0.25,-6.8,-3.0,-3.9,,,,,3.0,,,
1,1993,46,DEN,NFL,16,9,7,0,0.563,5.0,4.6,0.4,1.0,0.0,1.0,0.0,3.0,,,
2,1994,47,DEN,NFL,16,7,9,0,0.438,-3.3,1.3,-4.6,,,,,4.0,,,
3,1998,51,BUF,NFL,16,10,6,0,0.625,5.2,4.4,0.7,1.0,0.0,1.0,0.0,3.0,,,
4,1999,52,BUF,NFL,16,11,5,0,0.688,7.1,-0.2,7.4,1.0,0.0,1.0,0.0,2.0,5.0,2.0,
5,2000,53,BUF,NFL,16,8,8,0,0.5,0.0,0.5,-0.5,,,,,4.0,10.0,2.0,
6,2003,56,ATL,NFL,3,2,1,0,0.667,-7.4,-2.0,-5.4,,,,,4.0,1.0,0.0,Coach starting week 15
7,2007,60,DAL,NFL,16,13,3,0,0.813,9.5,7.8,1.7,1.0,0.0,1.0,0.0,1.0,8.0,5.0,
8,2008,61,DAL,NFL,16,9,7,0,0.563,0.6,1.7,-1.2,,,,,3.0,9.0,5.0,
9,2009,62,DAL,NFL,16,11,5,0,0.688,7.1,0.4,6.7,2.0,1.0,1.0,0.5,1.0,7.0,5.0,
10,2010,63,DAL,NFL,8,1,7,0,0.125,-2.2,2.5,-4.7,,,,,3.0,6.0,2.0,Fired after Week 9
11,2013,66,HOU,NFL,3,0,3,0,0.0,-7.6,-5.0,-2.6,,,,,4.0,0.0,0.0,
12,12 yrs,12 yrs,,,146,82,64,0,0.562,,,,6.0,1.0,5.0,0.167,2.9,46.0,21.0,
13,4 yrs,4 yrs,DAL,,56,34,22,0,0.607,,,,3.0,1.0,2.0,0.333,2.0,30.0,17.0,
14,3 yrs,3 yrs,BUF,,48,29,19,0,0.604,,,,2.0,0.0,2.0,0.0,3.0,15.0,4.0,
15,2 yrs,2 yrs,DEN,,32,16,16,0,0.5,,,,1.0,0.0,1.0,0.0,3.5,,,
16,1 yr,1 yr,ATL,,3,2,1,0,0.667,,,,0.0,0.0,0.0,,4.0,1.0,0.0,
17,1 yr,1 yr,HOU,,3,0,3,0,0.0,,,,0.0,0.0,0.0,,4.0,0.0,0.0,
18,1 yr,1 yr,NOR,,4,1,3,0,0.25,,,,0.0,0.0,0.0,,3.0,,,
