,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1983,48,RAM,NFL,16,9,7,0,0.563,2.9,2.0,0.9,2.0,1.0,1.0,0.5,2.0,
1,1984,49,RAM,NFL,16,10,6,0,0.625,2.3,1.0,1.3,1.0,0.0,1.0,0.0,2.0,
2,1985,50,RAM,NFL,16,11,5,0,0.688,2.6,-1.0,3.6,2.0,1.0,1.0,0.5,1.0,
3,1986,51,RAM,NFL,16,10,6,0,0.625,1.9,-1.1,2.9,1.0,0.0,1.0,0.0,2.0,
4,1987,52,RAM,NFL,15,6,9,0,0.4,-1.8,-0.6,-1.2,,,,,3.0,
5,1988,53,RAM,NFL,16,10,6,0,0.625,6.5,5.6,0.9,1.0,0.0,1.0,0.0,2.0,
6,1989,54,RAM,NFL,16,11,5,0,0.688,4.6,5.7,-1.1,3.0,2.0,1.0,0.667,2.0,
7,1990,55,RAM,NFL,16,5,11,0,0.313,-4.2,2.3,-6.5,,,,,3.0,
8,1991,56,RAM,NFL,16,3,13,0,0.188,-6.0,-2.6,-3.4,,,,,4.0,
9,9 yrs,9 yrs,,,143,75,68,0,0.524,,,,10.0,4.0,6.0,0.4,2.3,
