,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1986,55,PHI,NFL,16,5,10,1,0.344,-1.5,-2.9,1.4,,,,,4.0,
1,1987,56,PHI,NFL,15,7,8,0,0.467,-2.0,1.3,-3.3,,,,,4.0,
2,1988,57,PHI,NFL,16,10,6,0,0.625,3.4,2.3,1.1,1.0,0.0,1.0,0.0,1.0,
3,1989,58,PHI,NFL,16,11,5,0,0.688,5.1,1.9,3.2,1.0,0.0,1.0,0.0,2.0,
4,1990,59,PHI,NFL,16,10,6,0,0.625,5.6,4.5,1.1,1.0,0.0,1.0,0.0,2.0,
5,1994,63,ARI,NFL,16,8,8,0,0.5,-2.3,-5.6,3.3,,,,,3.0,
6,1995,64,ARI,NFL,16,4,12,0,0.25,-7.5,-3.5,-4.0,,,,,5.0,
7,7 yrs,7 yrs,,,111,55,55,1,0.5,,,,3.0,0.0,3.0,0.0,3.0,
8,5 yrs,5 yrs,PHI,,79,43,35,1,0.551,,,,3.0,0.0,3.0,0.0,2.6,
9,2 yrs,2 yrs,ARI,,32,12,20,0,0.375,,,,0.0,0.0,0.0,,4.0,
