,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1984,41,CLE,NFL,8,4,4,0,0.5,-3.8,-6.1,2.3,,,,,3.0,,,
1,1985,42,CLE,NFL,16,8,8,0,0.5,-1.3,-4.7,3.4,1.0,0.0,1.0,0.0,1.0,,,
2,1986,43,CLE,NFL,16,12,4,0,0.75,3.6,2.9,0.7,2.0,1.0,1.0,0.5,1.0,,,
3,1987,44,CLE,NFL,15,10,5,0,0.667,10.8,5.3,5.5,2.0,1.0,1.0,0.5,1.0,,,
4,1988,45,CLE,NFL,16,10,6,0,0.625,0.5,-3.5,4.0,1.0,0.0,1.0,0.0,2.0,,,
5,1989,46,KAN,NFL,16,8,7,1,0.531,2.0,-0.1,2.1,,,,,2.0,,,
6,1990,47,KAN,NFL,16,11,5,0,0.688,6.7,2.7,4.1,1.0,0.0,1.0,0.0,2.0,,,
7,1991,48,KAN,NFL,16,10,6,0,0.625,6.4,1.8,4.5,2.0,1.0,1.0,0.5,2.0,,,
8,1992,49,KAN,NFL,16,10,6,0,0.625,3.4,3.7,-0.2,1.0,0.0,1.0,0.0,2.0,,,
9,1993,50,KAN,NFL,16,11,5,0,0.688,2.9,1.9,1.0,3.0,2.0,1.0,0.667,1.0,,,
10,1994,51,KAN,NFL,16,9,7,0,0.563,0.9,-1.3,2.1,1.0,0.0,1.0,0.0,2.0,,,
11,1995,52,KAN,NFL,16,13,3,0,0.813,7.6,0.8,6.9,1.0,0.0,1.0,0.0,1.0,,,
12,1996,53,KAN,NFL,16,9,7,0,0.563,1.8,-0.7,2.5,,,,,2.0,,,
13,1997,54,KAN,NFL,16,13,3,0,0.813,8.4,1.8,6.6,1.0,0.0,1.0,0.0,1.0,,,
14,1998,55,KAN,NFL,16,7,9,0,0.438,-3.1,-0.7,-2.4,,,,,4.0,,,
15,2001,58,WAS,NFL,16,8,8,0,0.5,-3.7,-4.0,0.4,,,,,2.0,8.0,3.0,
16,2002,59,SDG,NFL,16,8,8,0,0.5,-0.7,-1.0,0.2,,,,,3.0,8.0,1.0,
17,2003,60,SDG,NFL,16,4,12,0,0.25,-6.8,-0.6,-6.2,,,,,4.0,4.0,0.0,
18,2004,61,SDG,NFL,16,12,4,0,0.75,9.1,6.1,3.0,1.0,0.0,1.0,0.0,1.0,8.0,4.0,
19,2005,62,SDG,NFL,16,9,7,0,0.563,9.9,7.1,2.9,,,,,3.0,9.0,6.0,
20,2006,63,SDG,NFL,16,14,2,0,0.875,10.2,10.0,0.2,1.0,0.0,1.0,0.0,1.0,8.0,3.0,
21,21 yrs,21 yrs,,,327,200,126,1,0.613,,,,18.0,5.0,13.0,0.278,2.0,45.0,17.0,
22,10 yrs,10 yrs,KAN,,160,101,58,1,0.634,,,,10.0,3.0,7.0,0.3,1.9,,,
23,5 yrs,5 yrs,CLE,,71,44,27,0,0.62,,,,6.0,2.0,4.0,0.333,1.6,,,
24,5 yrs,5 yrs,SDG,,80,47,33,0,0.588,,,,2.0,0.0,2.0,0.0,2.4,37.0,14.0,
25,1 yr,1 yr,WAS,,16,8,8,0,0.5,,,,0.0,0.0,0.0,,2.0,8.0,3.0,
