,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1963,33,BAL,NFL,14,8,6,0,0.571,2.0,0.8,1.2,,,,,3.0,
1,1964,34,BAL,NFL,14,12,2,0,0.857,15.5,9.3,6.2,1.0,0.0,1.0,0.0,1.0,
2,1965,35,BAL,NFL,14,10,3,1,0.769,12.9,7.0,5.9,1.0,0.0,1.0,0.0,1.0,
3,1966,36,BAL,NFL,14,9,5,0,0.643,7.6,2.2,5.5,,,,,2.0,
4,1967,37,BAL,NFL,14,11,1,2,0.917,13.2,6.4,6.8,,,,,1.0,
5,1968,38,BAL,NFL,14,13,1,0,0.929,17.9,8.0,9.9,3.0,2.0,1.0,0.667,1.0,NFL Champions
6,1969,39,BAL,NFL,14,8,5,1,0.615,3.0,0.5,2.5,,,,,2.0,
7,1970,40,MIA,NFL,14,10,4,0,0.714,-1.3,-1.3,0.0,1.0,0.0,1.0,0.0,2.0,
8,1971,41,MIA,NFL,14,10,3,1,0.769,7.7,2.4,5.3,3.0,2.0,1.0,0.667,1.0,AFC Champions
9,1972,42,MIA,NFL,14,14,0,0,1.0,11.0,4.5,6.5,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions
10,1973,43,MIA,NFL,14,12,2,0,0.857,13.3,5.0,8.3,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions
11,1974,44,MIA,NFL,14,11,3,0,0.786,6.1,3.9,2.3,1.0,0.0,1.0,0.0,1.0,
12,1975,45,MIA,NFL,14,10,4,0,0.714,9.3,3.3,6.0,,,,,2.0,
13,1976,46,MIA,NFL,14,6,8,0,0.429,-0.1,-1.8,1.7,,,,,3.0,
14,1977,47,MIA,NFL,14,10,4,0,0.714,7.8,4.4,3.5,,,,,2.0,
15,1978,48,MIA,NFL,16,11,5,0,0.688,7.6,4.2,3.3,1.0,0.0,1.0,0.0,2.0,
16,1979,49,MIA,NFL,16,10,6,0,0.625,4.3,0.3,4.0,1.0,0.0,1.0,0.0,1.0,
17,1980,50,MIA,NFL,16,8,8,0,0.5,-1.6,-4.6,3.1,,,,,3.0,
18,1981,51,MIA,NFL,16,11,4,1,0.719,2.9,0.1,2.8,1.0,0.0,1.0,0.0,1.0,
19,1982,52,MIA,NFL,9,7,2,0,0.778,8.2,2.6,5.6,4.0,3.0,1.0,0.75,1.0,AFC Champions
20,1983,53,MIA,NFL,16,12,4,0,0.75,7.7,2.6,5.2,1.0,0.0,1.0,0.0,1.0,
21,1984,54,MIA,NFL,16,14,2,0,0.875,10.6,9.1,1.5,3.0,2.0,1.0,0.667,1.0,AFC Champions
22,1985,55,MIA,NFL,16,12,4,0,0.75,7.0,6.1,0.9,2.0,1.0,1.0,0.5,1.0,
23,1986,56,MIA,NFL,16,8,8,0,0.5,0.5,6.2,-5.7,,,,,3.0,
24,1987,57,MIA,NFL,15,8,7,0,0.533,2.1,3.2,-1.1,,,,,3.0,
25,1988,58,MIA,NFL,16,6,10,0,0.375,-2.8,1.0,-3.9,,,,,5.0,
26,1989,59,MIA,NFL,16,8,8,0,0.5,-4.8,-0.6,-4.2,,,,,3.0,
27,1990,60,MIA,NFL,16,12,4,0,0.75,4.7,0.5,4.2,2.0,1.0,1.0,0.5,2.0,
28,1991,61,MIA,NFL,16,8,8,0,0.5,-4.1,0.7,-4.8,,,,,3.0,
29,1992,62,MIA,NFL,16,11,5,0,0.688,1.5,2.1,-0.6,2.0,1.0,1.0,0.5,1.0,
30,1993,63,MIA,NFL,16,9,7,0,0.563,-0.5,3.9,-4.3,,,,,2.0,
31,1994,64,MIA,NFL,16,10,6,0,0.625,4.2,4.5,-0.3,2.0,1.0,1.0,0.5,1.0,
32,1995,65,MIA,NFL,16,9,7,0,0.563,2.7,3.1,-0.4,1.0,0.0,1.0,0.0,3.0,
33,33 yrs,33 yrs,,,490,328,156,6,0.677,,,,36.0,19.0,17.0,0.528,1.8,
34,26 yrs,26 yrs,MIA,,392,257,133,2,0.659,,,,31.0,17.0,14.0,0.548,1.9,
35,7 yrs,7 yrs,BAL,,98,71,23,4,0.755,,,,5.0,2.0,3.0,0.4,1.6,
