,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1961,40,PHI,NFL,14,10,4,0,0.714,1.9,3.8,-1.8,,,,,2.0,
1,1962,41,PHI,NFL,14,3,10,1,0.231,-7.7,-4.4,-3.3,,,,,7.0,
2,1963,42,PHI,NFL,14,2,10,2,0.167,-8.4,-4.6,-3.8,,,,,7.0,
3,1971,50,CLE,NFL,14,9,5,0,0.643,0.3,1.1,-0.8,1.0,0.0,1.0,0.0,1.0,
4,1972,51,CLE,NFL,14,10,4,0,0.714,0.3,-1.6,1.9,1.0,0.0,1.0,0.0,2.0,
5,1973,52,CLE,NFL,14,7,5,2,0.571,-1.2,-2.6,1.4,,,,,3.0,
6,1974,53,CLE,NFL,14,4,10,0,0.286,-4.2,0.5,-4.7,,,,,4.0,
7,7 yrs,7 yrs,,,98,45,48,5,0.484,,,,2.0,0.0,2.0,0.0,3.7,
8,4 yrs,4 yrs,CLE,,56,30,24,2,0.554,,,,2.0,0.0,2.0,0.0,2.5,
9,3 yrs,3 yrs,PHI,,42,15,24,3,0.385,,,,0.0,0.0,0.0,,5.3,
