,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1975,41,GNB,NFL,14,4,10,0,0.286,-4.2,-3.3,-0.9,,,,,4.0,
1,1976,42,GNB,NFL,14,5,9,0,0.357,-4.5,-2.5,-2.0,,,,,4.0,
2,1977,43,GNB,NFL,14,4,10,0,0.286,-8.7,-9.1,0.4,,,,,4.0,
3,1978,44,GNB,NFL,16,8,7,1,0.531,-0.6,-2.2,1.6,,,,,2.0,
4,1979,45,GNB,NFL,16,5,11,0,0.313,-6.8,-5.3,-1.6,,,,,4.0,
5,1980,46,GNB,NFL,16,5,10,1,0.344,-9.0,-5.8,-3.2,,,,,5.0,
6,1981,47,GNB,NFL,16,8,8,0,0.5,-1.7,0.7,-2.3,,,,,3.0,
7,1982,48,GNB,NFL,9,5,3,1,0.611,6.2,4.6,1.5,2.0,1.0,1.0,0.5,1.0,
8,1983,49,GNB,NFL,16,8,8,0,0.5,-1.9,5.2,-7.1,,,,,2.0,
9,9 yrs,9 yrs,,,131,52,76,3,0.408,,,,2.0,1.0,1.0,0.5,3.2,
