,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1960,36,DTX,AFL,14,8,6,0,0.571,6.8,0.8,6.0,,,,,2.0,
1,1961,37,DTX,AFL,14,6,8,0,0.429,-0.6,-0.6,0.0,,,,,2.0,
2,1962,38,DTX,AFL,14,11,3,0,0.786,9.8,3.8,5.9,1.0,1.0,0.0,1.0,1.0,AFL Champions
3,1963,39,KAN,AFL,14,5,7,2,0.417,5.3,1.0,4.2,,,,,3.0,
4,1964,40,KAN,AFL,14,7,7,0,0.5,3.8,2.8,1.0,,,,,2.0,
5,1965,41,KAN,AFL,14,7,5,2,0.583,2.3,1.4,0.9,,,,,3.0,
6,1966,42,KAN,AFL,14,11,2,1,0.846,11.0,9.8,1.2,2.0,1.0,1.0,0.5,1.0,AFL Champions
7,1967,43,KAN,AFL,14,9,5,0,0.643,10.3,6.0,4.2,,,,,2.0,
8,1968,44,KAN,AFL,14,12,2,0,0.857,14.0,3.8,10.1,1.0,0.0,1.0,0.0,1.0,
9,1969,45,KAN,AFL,14,11,3,0,0.786,11.9,3.5,8.4,3.0,3.0,0.0,1.0,2.0,Super Bowl Champions
10,1970,46,KAN,NFL,14,7,5,2,0.583,1.5,-0.1,1.6,,,,,2.0,
11,1971,47,KAN,NFL,14,10,3,1,0.769,5.1,0.6,4.5,1.0,0.0,1.0,0.0,1.0,
12,1972,48,KAN,NFL,14,8,6,0,0.571,2.6,0.4,2.2,,,,,2.0,
13,1973,49,KAN,NFL,14,7,5,2,0.571,1.0,-4.2,5.1,,,,,2.0,
14,1974,50,KAN,NFL,14,5,9,0,0.357,-2.4,-1.3,-1.1,,,,,3.0,
15,1976,52,NOR,NFL,14,4,10,0,0.286,-6.1,-0.6,-5.5,,,,,4.0,
16,1977,53,NOR,NFL,14,3,11,0,0.214,-9.2,0.3,-9.4,,,,,4.0,
17,17 yrs,17 yrs,,,238,131,97,10,0.574,,,,8.0,5.0,3.0,0.625,2.2,
18,15 yrs,15 yrs,DTX-KAN,,210,124,76,10,0.619,,,,8.0,5.0,3.0,0.625,1.9,
19,2 yrs,2 yrs,NOR,,28,7,21,0,0.25,,,,0.0,0.0,0.0,,4.0,
