,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,1976,40,PHI,NFL,14,4,10,0,0.286,-8.7,-7.3,-1.4,,,,,4.0,,,
1,1977,41,PHI,NFL,14,5,9,0,0.357,-0.6,-2.5,1.9,,,,,4.0,,,
2,1978,42,PHI,NFL,16,9,7,0,0.563,2.3,-1.1,3.4,1.0,0.0,1.0,0.0,2.0,,,
3,1979,43,PHI,NFL,16,11,5,0,0.688,2.7,0.3,2.4,2.0,1.0,1.0,0.5,2.0,,,
4,1980,44,PHI,NFL,16,12,4,0,0.75,9.7,2.9,6.8,3.0,2.0,1.0,0.667,1.0,,,NFC Champions
5,1981,45,PHI,NFL,16,10,6,0,0.625,8.7,2.0,6.7,1.0,0.0,1.0,0.0,2.0,,,
6,1982,46,PHI,NFL,9,3,6,0,0.333,0.7,2.7,-2.0,,,,,5.0,,,
7,1997,61,STL,NFL,16,5,11,0,0.313,-4.0,-1.8,-2.2,,,,,5.0,,,
8,1998,62,STL,NFL,16,4,12,0,0.25,-2.3,-2.3,0.0,,,,,5.0,,,
9,1999,63,STL,NFL,16,13,3,0,0.813,11.9,8.7,3.2,3.0,3.0,0.0,1.0,1.0,3.0,0.0,Super Bowl Champions
10,2001,65,KAN,NFL,16,6,10,0,0.375,-1.2,-0.2,-1.0,,,,,4.0,4.0,0.0,
11,2002,66,KAN,NFL,16,8,8,0,0.5,6.1,8.4,-2.3,,,,,4.0,4.0,2.0,
12,2003,67,KAN,NFL,16,13,3,0,0.813,8.3,9.2,-0.9,1.0,0.0,1.0,0.0,1.0,8.0,1.0,
13,2004,68,KAN,NFL,16,7,9,0,0.438,5.3,10.0,-4.7,,,,,3.0,6.0,2.0,
14,2005,69,KAN,NFL,16,10,6,0,0.625,7.0,5.1,1.9,,,,,2.0,8.0,2.0,
15,15 yrs,15 yrs,,,229,120,109,0,0.524,,,,11.0,6.0,5.0,0.545,3.0,33.0,7.0,
16,7 yrs,7 yrs,PHI,,101,54,47,0,0.535,,,,7.0,3.0,4.0,0.429,2.9,,,
17,5 yrs,5 yrs,KAN,,80,44,36,0,0.55,,,,1.0,0.0,1.0,0.0,2.8,30.0,7.0,
18,3 yrs,3 yrs,STL,,48,22,26,0,0.458,,,,3.0,3.0,0.0,1.0,3.7,3.0,0.0,
