,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Num,Won,Notes
0,2007,45,ARI,NFL,16,8,8,0,0.5,-3.9,1.9,-5.9,,,,,2.0,6,1,
1,2008,46,ARI,NFL,16,9,7,0,0.563,-1.9,4.1,-6.0,4.0,3.0,1.0,0.75,1.0,9,4,NFC Champions
2,2009,47,ARI,NFL,16,10,6,0,0.625,-0.3,0.1,-0.4,2.0,1.0,1.0,0.5,1.0,10,4,
3,2010,48,ARI,NFL,16,5,11,0,0.313,-12.7,-5.6,-7.1,,,,,4.0,11,6,
4,2011,49,ARI,NFL,16,8,8,0,0.5,-2.2,-1.7,-0.5,,,,,2.0,8,4,
5,2012,50,ARI,NFL,16,5,11,0,0.313,-3.2,-4.8,1.6,,,,,4.0,9,6,
6,2014,52,TEN,NFL,16,2,14,0,0.125,-11.8,-7.0,-4.9,,,,,4.0,7,1,
7,2015,53,TEN,NFL,7,1,6,0,0.143,-10.5,-5.9,-4.6,,,,,4.0,2,2,Fired after Week 8
8,8 yrs,8 yrs,,,119,48,71,0,0.403,,,,6.0,4.0,2.0,0.667,2.8,62,28,
9,6 yrs,6 yrs,ARI,,96,45,51,0,0.469,,,,6.0,4.0,2.0,0.667,2.3,53,25,
10,2 yrs,2 yrs,TEN,,23,3,20,0,0.13,,,,0.0,0.0,0.0,,4.0,9,3,
