,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1957,43,DET,NFL,12,8,4,0,0.667,2.0,0.7,1.4,2.0,2.0,0.0,1.0,1.0,NFL Champions
1,1958,44,DET,NFL,12,4,7,1,0.364,1.1,-0.1,1.1,,,,,5.0,
2,1959,45,DET,NFL,12,3,8,1,0.273,-3.7,-3.8,0.1,,,,,5.0,
3,1960,46,DET,NFL,12,7,5,0,0.583,1.2,-2.4,3.6,,,,,2.0,
4,1961,47,DET,NFL,14,8,5,1,0.615,3.3,-1.8,5.1,,,,,2.0,
5,1962,48,DET,NFL,14,11,3,0,0.786,12.4,1.5,10.9,,,,,2.0,
6,1963,49,DET,NFL,14,5,8,1,0.385,3.7,1.6,2.1,,,,,4.0,
7,1964,50,DET,NFL,14,7,5,2,0.583,4.1,-1.4,5.4,,,,,4.0,
8,1966,52,MIA,AFL,14,3,11,0,0.214,-9.7,-7.3,-2.4,,,,,4.0,
9,1967,53,MIA,AFL,14,4,10,0,0.286,-12.2,-6.2,-6.0,,,,,3.0,
10,1968,54,MIA,AFL,14,5,8,1,0.385,-6.5,-2.5,-4.0,,,,,3.0,
11,1969,55,MIA,AFL,14,3,10,1,0.231,-6.6,-4.4,-2.2,,,,,5.0,
12,12 yrs,12 yrs,,,160,68,84,8,0.447,,,,2.0,2.0,0.0,1.0,3.3,
13,8 yrs,8 yrs,DET,,104,53,45,6,0.541,,,,2.0,2.0,0.0,1.0,3.1,
14,4 yrs,4 yrs,MIA,,56,15,39,2,0.278,,,,0.0,0.0,0.0,,3.8,
