,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes
0,1966,42,STL,NFL,14,8,5,1,0.615,-2.3,-5.7,3.4,,,,,4.0,
1,1967,43,STL,NFL,14,6,7,1,0.462,-2.4,1.4,-3.8,,,,,3.0,
2,1968,44,STL,NFL,14,9,4,1,0.692,1.8,1.7,0.1,,,,,2.0,
3,1969,45,STL,NFL,14,4,9,1,0.308,-7.0,0.8,-7.8,,,,,3.0,
4,1970,46,STL,NFL,14,8,5,1,0.615,7.4,3.8,3.6,,,,,3.0,
5,1974,50,NYJ,NFL,14,7,7,0,0.5,-2.5,1.1,-3.7,,,,,4.0,
6,1975,51,NYJ,NFL,9,2,7,0,0.222,-8.3,-1.2,-7.1,,,,,4.0,
7,7 yrs,7 yrs,,,93,44,44,5,0.5,,,,0.0,0.0,0.0,,3.3,
8,5 yrs,5 yrs,STL,,70,35,30,5,0.538,,,,0.0,0.0,0.0,,3.0,
9,2 yrs,2 yrs,NYJ,,23,9,14,0,0.391,,,,0.0,0.0,0.0,,4.0,
