Tm,Year,Team,Round
CLT,1970,Baltimore Colts,5
DAL,1970,Dallas Cowboys,4
SFO,1970,San Francisco 49ers,3
RAI,1970,Oakland Raiders,3
MIN,1970,Minnesota Vikings,2
MIA,1970,Miami Dolphins,2
DET,1970,Detroit Lions,2
CIN,1970,Cincinnati Bengals,2
DAL,1971,Dallas Cowboys,5
MIA,1971,Miami Dolphins,4
CLT,1971,Baltimore Colts,3
SFO,1971,San Francisco 49ers,3
WAS,1971,Washington Redskins,2
CLE,1971,Cleveland Browns,2
KAN,1971,Kansas City Chiefs,2
MIN,1971,Minnesota Vikings,2
MIA,1972,Miami Dolphins,5
WAS,1972,Washington Redskins,4
DAL,1972,Dallas Cowboys,3
PIT,1972,Pittsburgh Steelers,3
GNB,1972,Green Bay Packers,2
CLE,1972,Cleveland Browns,2
RAI,1972,Oakland Raiders,2
SFO,1972,San Francisco 49ers,2
MIA,1973,Miami Dolphins,5
MIN,1973,Minnesota Vikings,4
DAL,1973,Dallas Cowboys,3
RAI,1973,Oakland Raiders,3
CIN,1973,Cincinnati Bengals,2
RAM,1973,Los Angeles Rams,2
PIT,1973,Pittsburgh Steelers,2
WAS,1973,Washington Redskins,2
PIT,1974,Pittsburgh Steelers,5
MIN,1974,Minnesota Vikings,4
RAI,1974,Oakland Raiders,3
RAM,1974,Los Angeles Rams,3
WAS,1974,Washington Redskins,2
BUF,1974,Buffalo Bills,2
MIA,1974,Miami Dolphins,2
CRD,1974,St. Louis Cardinals,2
PIT,1975,Pittsburgh Steelers,5
DAL,1975,Dallas Cowboys,4
RAI,1975,Oakland Raiders,3
RAM,1975,Los Angeles Rams,3
CIN,1975,Cincinnati Bengals,2
MIN,1975,Minnesota Vikings,2
CRD,1975,St. Louis Cardinals,2
CLT,1975,Baltimore Colts,2
RAI,1976,Oakland Raiders,5
MIN,1976,Minnesota Vikings,4
PIT,1976,Pittsburgh Steelers,3
RAM,1976,Los Angeles Rams,3
DAL,1976,Dallas Cowboys,2
CLT,1976,Baltimore Colts,2
