,Abbrev,Team,W-L%
0,CLT,Indianapolis Colts,.714
1,MIA,Miami Dolphins,.714
2,BUF,Buffalo Bills,.571
3,NYJ,New York Jets,.214
4,NWE,New England Patriots,.214
5,PIT,Pittsburgh Steelers,.857
6,CIN,Cincinnati Bengals,.786
7,OTI,Tennessee Titans,.714
8,CLE,Cleveland Browns,.214
9,RAI,Las Vegas Raiders,.786
10,DEN,Denver Broncos,.429
11,KAN,Kansas City Chiefs,.357
12,SDG,Los Angeles Chargers,.143
13,CRD,Arizona Cardinals,.786
14,DAL,Dallas Cowboys,.714
15,WAS,Washington Commanders,.571
16,NYG,New York Giants,.357
17,PHI,Philadelphia Eagles,.286
18,MIN,Minnesota Vikings,.857
19,DET,Detroit Lions,.500
20,CHI,Chicago Bears,.286
21,GNB,Green Bay Packers,.286
22,RAM,Los Angeles Rams,.857
23,SFO,San Francisco 49ers,.357
24,ATL,Atlanta Falcons,.286
25,NOR,New Orleans Saints,.143
