fired,id,year,tm,exp,tenure,poc,prior_hc_stops,prior_hc_seasons,prior_win_pct,prior_w_plyf,prior_sb_wins,prior_sb_apps,prior_coy_share,career_sb_wins,career_sb_apps,years_since_last_hc,prehire_win_pct_1,prehire_round_1,prehire_win_pct_2,prehire_round_2,prehire_win_pct_3,prehire_round_3,age_t0,playoff_round_t0,win_pct_t0,w_plyf_t0,coy_share_t0,coy_rank_t0,tenure_idx_t0,age_t1,playoff_round_t1,win_pct_t1,w_plyf_t1,coy_share_t1,coy_rank_t1,tenure_idx_t1,age_t2,playoff_round_t2,win_pct_t2,w_plyf_t2,coy_share_t2,coy_rank_t2,tenure_idx_t2,age_t3,playoff_round_t3,win_pct_t3,w_plyf_t3,coy_share_t3,coy_rank_t3,tenure_idx_t3,age_t4,playoff_round_t4,win_pct_t4,w_plyf_t4,coy_share_t4,coy_rank_t4,tenure_idx_t4
0,AlleDe0,2012,OAK,1,1,0,0,0,,0.0,0,0,0.0,0,0,,0.5,0.0,0.5,0.0,0.313,0.0,40.0,0,0.25,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AlleDe0,2013,OAK,2,2,0,0,0,,0.0,0,0,0.0,0,0,,0.5,0.0,0.5,0.0,0.313,0.0,41.0,0,0.25,0.0,0.0,,2,40.0,0.0,0.25,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,
1,AlleDe0,2014,OAK,3,3,0,0,0,,0.0,0,0,0.0,0,0,,0.5,0.0,0.5,0.0,0.313,0.0,42.0,0,0.0,0.0,0.0,,3,41.0,0.0,0.25,0.0,0.0,,2.0,40.0,0.0,0.25,0.0,0.0,,1.0,,,,,,,,,,,,,,
0,AlleDe0,2022,NOR,4,1,0,1,3,0.2222222222222222,0.0,0,0,0.0,0,0,7.0,0.529,0.0,0.75,2.0,0.813,1.0,50.0,0,0.4117647058823529,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AlleDe0,2023,NOR,5,2,0,1,3,0.2222222222222222,0.0,0,0,0.0,0,0,7.0,0.529,0.0,0.75,2.0,0.813,1.0,51.0,0,0.5294117647058824,0.0,0.0,,2,50.0,0.0,0.4117647058823529,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,
1,AlleDe0,2024,NOR,6,3,0,1,3,0.2222222222222222,0.0,0,0,0.0,0,0,7.0,0.529,0.0,0.75,2.0,0.813,1.0,52.0,0,0.2222222222222222,0.0,0.0,,3,51.0,0.0,0.5294117647058824,0.0,0.0,,2.0,50.0,0.0,0.4117647058823529,0.0,0.0,,1.0,,,,,,,,,,,,,,
1,AlleGe0,1970,RAM,1,1,0,0,0,,0.0,0,0,0.0,0,0,,,,,,,,52.0,0,0.6923076923076923,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AlleGe0,1971,WAS,2,1,0,1,1,0.6923076923076923,0.0,0,0,0.0,0,0,0.0,0.429,0.0,,,,,53.0,2,0.6923076923076923,0.0,0.44,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AlleGe0,1972,WAS,3,2,0,1,1,0.6923076923076923,0.0,0,0,0.0,0,1,0.0,0.429,0.0,,,,,54.0,4,0.7857142857142857,2.0,0.066,5.0,2,53.0,2.0,0.6923076923076923,0.0,0.44,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,AlleGe0,1973,WAS,4,3,0,1,1,0.6923076923076923,0.0,0,0,0.0,0,1,0.0,0.429,0.0,,,,,55.0,2,0.7142857142857143,0.0,0.0,,3,54.0,4.0,0.7857142857142857,2.0,0.066,5.0,2.0,53.0,2.0,0.6923076923076923,0.0,0.44,1.0,1.0,,,,,,,,,,,,,,
