,Fired,id,Year,Tm,Age,Round,W-L%,W plyf,Exp,Tenure,Tenure (W-L),Tenure W plyf,Tenure coy_share,Exp coy_share,SRS,ou,owner,coy_share,coy_rank,poc,Delta 1yr W-L%,Delta 2yr W-L%,Delta 3yr W-L%,Delta 1yr plyf,Delta 2yr plyf,Delta 3yr plyf
0,0,AlleDe0,2012,OAK,40,0,0.25,0.0,1,1,-8,0.0,0.0,0.0,-10.8,-3.0,1,0.0,0,0,-0.25,-0.25,-0.063,0.0,0.0,0.0
1,0,AlleDe0,2013,OAK,41,0,0.25,0.0,2,2,-16,0.0,0.0,0.0,-8.0,-1.5,1,0.0,0,0,0.0,-0.25,-0.25,0.0,0.0,0.0
2,1,AlleDe0,2014,OAK,42,0,0.0,0.0,3,3,-20,0.0,0.0,0.0,-9.0,-2.0,1,0.0,0,0,-0.25,-0.25,-0.5,0.0,0.0,0.0
3,0,AlleDe0,2022,NOR,50,0,0.412,0.0,4,1,-3,0.0,0.0,0.0,-1.2,-2.0,1,0.0,0,0,-0.117,-0.338,-0.401,0.0,-2.0,-1.0
4,0,AlleDe0,2023,NOR,51,0,0.529,0.0,5,2,-2,0.0,0.0,0.0,2.2,-0.5,1,0.0,0,0,0.117,0.0,-0.221,0.0,0.0,-2.0
5,1,AlleDe0,2024,NOR,52,0,0.222,0.0,6,3,-7,0.0,0.0,0.0,-4.1,-2.5,1,0.0,0,0,-0.307,-0.19,-0.307,0.0,0.0,0.0
6,1,AlleGe0,1970,RAM,52,0,0.692,0.0,1,1,5,0.0,0.0,0.0,9.6,0.0,1,0.0,0,0,0.692,0.692,0.692,0.0,0.0,0.0
7,0,AlleGe0,1971,WAS,53,2,0.692,0.0,2,1,5,0.0,0.44,0.44,5.1,0.0,1,0.44,1,0,0.263,0.692,0.692,2.0,2.0,2.0
8,0,AlleGe0,1972,WAS,54,4,0.786,2.0,3,2,13,2.0,0.506,0.506,6.3,0.0,1,0.066,5,0,0.094,0.357,0.786,2.0,4.0,4.0
9,0,AlleGe0,1973,WAS,55,2,0.714,0.0,4,3,19,2.0,0.506,0.506,7.4,0.0,1,0.0,0,0,-0.072,0.022,0.285,-2.0,0.0,2.0
10,0,AlleGe0,1974,WAS,56,2,0.714,0.0,5,4,25,2.0,0.506,0.506,10.2,0.0,-1,0.0,0,0,0.0,-0.072,0.022,0.0,-2.0,0.0
11,0,AlleGe0,1975,WAS,57,0,0.571,0.0,6,5,27,2.0,0.506,0.506,2.8,0.0,-1,0.0,0,0,-0.143,-0.143,-0.215,-2.0,-2.0,-4.0
12,0,AlleGe0,1976,WAS,58,2,0.714,0.0,7,6,33,2.0,0.649,0.649,3.0,0.0,-1,0.143,3,0,0.143,0.0,0.0,2.0,0.0,0.0
13,1,AlleGe0,1977,WAS,59,0,0.643,0.0,8,7,37,2.0,0.649,0.649,-0.5,0.0,-1,0.0,0,0,-0.071,0.072,-0.071,-2.0,0.0,-2.0
14,0,AriaBr0,2013,ARI,61,0,0.625,0.0,2,1,4,0.0,0.04,0.04,6.4,4.5,1,0.04,5,0,0.312,0.125,0.312,0.0,0.0,0.0
15,0,AriaBr0,2014,ARI,62,1,0.688,0.0,3,2,10,0.0,0.83,0.83,2.0,3.5,-1,0.79,1,0,0.063,0.375,0.188,1.0,1.0,1.0
16,0,AriaBr0,2015,ARI,63,3,0.813,1.0,4,3,20,1.0,0.85,0.85,12.3,4.5,1,0.02,6,0,0.125,0.188,0.5,2.0,3.0,3.0
17,0,AriaBr0,2016,ARI,64,0,0.469,0.0,5,4,19,1.0,0.85,0.85,1.6,-3.0,1,0.0,0,0,-0.344,-0.219,-0.156,-3.0,-1.0,0.0
18,0,AriaBr0,2017,ARI,65,0,0.5,0.0,6,5,19,1.0,0.85,0.85,-3.7,-0.5,1,0.0,0,0,0.031,-0.313,-0.188,0.0,-3.0,-1.0
