,rank,name,share,year,id
0,1,Paul Brown,0.5,1970,BrowPa0
1,3,Paul Brown,0.16,1973,BrowPa0
2,2,Don Shula,0.256,1970,ShulDo0
3,3,Don Shula,0.107,1971,ShulDo0
4,1,Don Shula,0.368,1972,ShulDo0
5,3,Don Shula,0.077,1975,ShulDo0
6,2,Don Shula,0.298,1977,ShulDo0
7,10,Don Shula,0.004,1978,ShulDo0
8,3,Don Shula,0.036,1981,ShulDo0
9,4,Don Shula,0.06,1982,ShulDo0
10,6,Don Shula,0.06,1983,ShulDo0
11,4,Don Shula,0.075,1984,ShulDo0
12,7,Don Shula,0.007,1985,ShulDo0
13,3,Don Shula,0.119,1990,ShulDo0
14,4,Don Shula,0.025,1993,ShulDo0
15,3,Dick Nolan,0.115,1970,NolaDi0
16,4,Bud Grant,0.064,1970,GranBu0
17,5,Bud Grant,0.027,1971,GranBu0
18,6,Bud Grant,0.026,1975,GranBu0
19,5,Tom Landry,0.032,1970,LandTo0
20,7,Tom Landry,0.013,1971,LandTo0
21,4,Tom Landry,0.051,1975,LandTo0
22,4,Tom Landry,0.072,1976,LandTo0
23,8,Tom Landry,0.012,1978,LandTo0
24,4,Tom Landry,0.024,1981,LandTo0
25,3,Tom Landry,0.071,1982,LandTo0
26,9,Tom Landry,0.036,1983,LandTo0
27,3,Tom Landry,0.036,1985,LandTo0
28,6,Don McCafferty,0.016,1970,McCaDo0
29,8,Don McCafferty,0.013,1971,McCaDo0
30,7,Joe Schmidt,0.008,1970,SchmJo0
31,8,Alex Webster,0.005,1970,WebsAl0
32,1,George Allen,0.44,1971,AlleGe0
33,5,George Allen,0.066,1972,AlleGe0
34,3,George Allen,0.143,1976,AlleGe0
35,2,Ed Khayat,0.107,1971,KhayEd0
36,4,John Mazur,0.04,1971,MazuJo0
37,6,Tommy Prothro,0.027,1971,ProtTo0
38,9,J.D. Roberts,0.013,1971,RobeJ
39,10,Nick Skorich,0.013,1971,SkorNi0
40,4,Nick Skorich,0.079,1972,SkorNi0
41,2,Dan Devine,0.329,1972,DeviDa0
42,3,Chuck Noll,0.158,1972,NollCh0
43,9,Chuck Noll,0.006,1978,NollCh0
44,2,Chuck Noll,0.167,1983,NollCh0
45,7,Chuck Noll,0.014,1989,NollCh0
46,9,Chuck Noll,0.025,1990,NollCh0
47,1,Chuck Knox,0.551,1973,KnoxCh0
48,1,Chuck Knox,0.327,1980,KnoxCh0
49,5,Chuck Knox,0.06,1983,KnoxCh0
50,1,Chuck Knox,0.571,1984,KnoxCh0
51,8,Chuck Knox,0.05,1990,KnoxCh0
52,2,John Ralston,0.128,1973,RalsJo0
