,fired,year,tm,id,age,round,win_pct,w_plyf,exp,tenure,tenure_over_500,tenure_w_plyf,tenure_coy_share,exp_coy_share,srs,ou,gm,owner,coy_share,coy_rank,poc,delta_1yr_win_pct,delta_2yr_win_pct,delta_3yr_win_pct,delta_1yr_plyf,delta_2yr_plyf,delta_3yr_plyf,pred,prob,name,team,win_pct_proj,color1,color2,wins,losses,l_plyf,ou_line
1,0,2025,NYG,DaboBr0,49,0.0,0.176,0.0,4,4,-14,1.0,0.273,0.273,-8.0,-3.5,1,1,0.0,0,0,-0.177,-0.383,-0.059,0,-2,0,1,0.62,Brian Daboll,NYG,0.176,0B2265,A71930,0,0,0,6.46
2,0,2025,CHI,JohnBe0,38,0.61,0.333,0.26,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0,-0.079,0.157,-0.02,0,0,0,0,0.02,Ben Johnson,CHI,0.48,0B162A,C83803,0,0,0,8.22
3,0,2025,PHI,SiriNi0,43,5.0,0.824,4.0,5,5,28,6.0,0.103,0.103,7.7,3.5,1,1,0.003,12,0,0.177,0.0,0.295,4,1,4,0,0.0,Nick Sirianni,PHI,0.824,004953,A5ACAF,0,0,0,10.46
4,0,2025,NYJ,GlenAa0,52,0.12,0.4,0.05,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0,-0.012,-0.012,0.165,0,0,0,0,0.1,Aaron Glenn,NYJ,0.35,203731,000000,0,0,0,5.88
5,0,2025,DEN,PaytSe0,61,1.0,0.588,0.0,18,3,2,0.0,0.068,1.259,6.4,4.5,1,1,0.068,5,0,0.117,0.294,0.176,1,1,1,0,0.01,Sean Payton,DEN,0.588,002244,FB4F14,0,0,0,7.64
6,0,2025,CAR,CanaDa0,43,0.0,0.294,0.0,2,2,-7,0.0,0.0,0.0,-11.0,-0.5,1,1,0.0,0,1,0.176,-0.118,0.0,0,0,0,0,0.09,Dave Canales,CAR,0.294,0085CA,BFC0BF,0,0,0,6.76
7,0,2025,CIN,TaylZa0,41,0.0,0.529,0.0,7,7,-6,5.0,0.04,0.04,1.4,-1.5,1,1,0.0,0,0,0.0,-0.221,-0.059,0,-3,-4,0,0.17,Zac Taylor,CIN,0.529,FB4F14,000000,0,0,0,9.23
8,0,2025,SEA,MacdMi0,37,0.0,0.588,0.0,2,2,3,0.0,0.0,0.0,1.3,2.5,1,1,0.0,0,0,0.059,0.059,0.176,0,-1,0,0,0.07,Mike Macdonald,SEA,0.588,002244,69BE28,0,0,0,7.5
9,0,2025,DAL,SchoBr0,51,0.45,0.412,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0,-0.294,-0.294,-0.294,-1,-2,-1,0,0.06,Brian Schottenheimer,DAL,0.44,002244,B0B7BC,0,0,0,7.53
10,0,2025,JAX,CoenLi0,39,0.38,0.235,0.16,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0,-0.294,-0.294,0.059,0,-2,0,0,0.09,Liam Coen,JAX,0.4,006778,9F792C,0,0,0,6.78
11,0,2025,MIN,OConKe0,39,1.0,0.824,0.0,4,4,17,0.0,0.395,0.395,6.2,7.5,1,1,0.344,1,0,0.412,0.059,0.353,1,0,1,0,0.08,Kevin O'Connell,MIN,0.824,4F2683,FFC62F,0,0,0,9.16
12,0,2025,MIA,McDaMi0,41,0.0,0.471,0.0,4,4,5,0.0,0.002,0.002,-3.0,-2.0,1,1,0.0,0,1,-0.176,-0.058,-0.058,-1,-1,0,0,0.26,Mike McDaniel,MIA,0.471,008E97,F58220,0,0,0,9.1
13,0,2025,PIT,TomlMi0,52,1.0,0.588,0.0,19,19,76,8.0,0.077,0.077,2.1,2.0,-1,-1,0.015,8,1,0.0,0.059,0.029,0,1,0,0,0.05,Mike Tomlin,PIT,0.588,FFB612,C60C30,0,0,0,6.95
14,0,2025,HOU,RyanDe0,40,2.0,0.588,1.0,3,3,6,2.0,0.367,0.367,-0.7,0.5,1,-1,0.0,0,1,0.0,0.382,0.353,0,2,2,0,0.08,DeMeco Ryans,HTX,0.588,03202F,A71930,0,0,0,8.99
15,0,2025,TEN,CallBr0,40,0.0,0.176,0.0,2,2,-11,0.0,0.0,0.0,-8.4,-3.5,1,1,0.0,0,0,-0.177,-0.236,-0.53,0,0,-2,0,0.36,Brian Callahan,OTI,0.176,002244,4B92DB,0,0,0,4.67
16,0,2025,NWE,VrabMi0,49,0.21,0.235,0.09,7,1,0,0.0,0.0,0.72,0.0,0.0,1,1,0.0,0,0,0.0,-0.236,-0.353,0,0,-1,0,0.08,Mike Vrabel,NWE,0.38,002244,C60C30,0,0,0,6.48
17,0,2025,BUF,McDeSe0,50,3.0,0.765,2.0,9,9,41,7.0,0.322,0.322,8.1,3.0,1,1,0.03,7,0,0.118,-0.048,0.118,1,1,1,0,0.02,Sean McDermott,BUF,0.765,00338D,C60C30,0,0,0,9.93
18,0,2025,DET,CampDa1,48,2.0,0.882,0.0,6,5,11,2.0,0.376,0.376,13.8,4.5,1,1,0.27,2,0,0.176,0.353,0.676,-1,2,2,0,0.02,Dan Campbell,DET,0.882,005A8B,B0B7BC,0,0,0,9.44
19,0,2025,CLE,StefKe0,42,0.0,0.176,0.0,6,6,-4,1.0,0.877,0.877,-9.2,-5.5,1,1,0.0,0,0,-0.471,-0.236,-0.295,-1,0,0,0,0.45,Kevin Stefanski,CLE,0.176,FB4F14,22150C,0,0,0,6.77
20,0,2025,LAR,McVaSe0,38,2.0,0.588,1.0,9,9,28,8.0,0.756,0.756,-0.1,1.5,1,1,0.009,9,0,0.0,0.294,-0.118,1,2,-3,0,0.03,Sean McVay,RAM,0.588,002244,B3995D,0,0,0,9.06
21,0,2025,SFO,ShanKy0,45,0.0,0.353,0.0,9,9,8,8.0,0.57,0.57,-1.2,-5.5,1,-1,0.0,0,0,-0.353,-0.412,-0.235,-4,-3,-3,0,0.26,Kyle Shanahan,SFO,0.353,AA0000,B3995D,0,0,0,9.18
22,0,2025,NOR,MoorKe0,36,0.25,0.222,0.11,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0,-0.307,-0.19,-0.307,0,0,0,0,0.07,Kellen Moore,NOR,0.37,9F8958,000000,0,0,0,6.37
23,0,2025,GNB,LaFlMa0,45,0.0,0.647,0.0,7,7,34,3.0,0.292,0.292,8.1,1.0,1,1,0.007,10,0,0.118,0.176,-0.118,0,0,-2,0,0.1,Matt LaFleur,GNB,0.647,203731,FFB612,0,0,0,9.24
24,0,2025,ATL,MorrRa0,48,0.0,0.471,0.0,6,2,-4,0.0,0.0,0.23,-2.2,-1.5,1,1,0.0,0,1,0.059,0.059,0.059,0,0,0,0,0.14,Raheem Morris,ATL,0.471,A71930,A5ACAF,0,0,0,7.56
25,0,2025,IND,SteiSh0,39,0.0,0.471,0.0,3,3,0,0.0,0.009,0.009,-3.7,-0.5,1,1,0.0,0,0,-0.058,0.206,-0.058,0,0,0,0,0.19,Shane Steichen,CLT,0.471,002C5F,A5ACAF,0,0,0,6.58
26,0,2025,WAS,QuinDa0,54,3.0,0.706,2.0,8,2,7,2.0,0.081,0.081,3.7,5.5,1,1,0.081,4,0,0.471,0.206,0.706,3,3,3,0,0.04,Dan Quinn,WAS,0.706,773141,FFB612,0,0,0,9.05
27,0,2025,KAN,ReidAn0,66,4.0,0.882,2.0,27,13,90,18.0,0.686,1.665,4.2,3.5,-1,1,0.113,3,0,0.235,0.058,0.176,-1,-1,1,0,0.02,Andy Reid,KAN,0.882,E31837,FFB612,0,0,0,11.43
28,0,2025,TAM,BowlTo0,61,1.0,0.588,0.0,9,4,3,1.0,0.005,0.005,6.4,2.5,1,1,0.003,11,1,0.059,0.117,-0.177,-1,0,-1,0,0.1,Todd Bowles,TAM,0.588,D50A0A,34302B,0,0,0,9.6
29,0,2025,BAL,HarbJo0,62,2.0,0.706,1.0,18,18,68,13.0,0.61,0.61,9.9,1.5,-1,1,0.002,13,0,-0.059,0.118,0.235,-1,1,2,0,0.04,John Harbaugh,RAV,0.706,241773,9E7C0C,0,0,0,11.02
30,0,2025,LAC,HarbJi0,61,1.0,0.647,0.0,6,2,5,0.0,0.056,0.956,5.3,2.0,1,1,0.056,6,0,0.353,0.059,0.118,1,0,1,0,0.0,Jim Harbaugh,SDG,0.647,002244,0073CF,0,0,0,9.43
