Abbrev,Team,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BUF,Buffalo Bills,null,null,Bob Lustig,Bob Lustig,Bob Lustig,Bob Lustig,Bob Lustig,null,Bob Lustig,Stew Barber,Stew Barber,Stew Barber,Stew Barber,null,null,null,Bill Polian,Bill Polian,Bill Polian,Bill Polian,Bill Polian,Bill Polian,Bill Polian,John Butler,John Butler,John Butler,John Butler,John Butler,John Butler,John Butler,John Butler,Tom Donahoe,Tom Donahoe,Tom Donahoe,Tom Donahoe,Tom Donahoe,Marv Levy,Marv Levy,Russ Brandon,Russ Brandon,Russ Brandon,Buddy Nix,Buddy Nix,Doug Whaley,Doug Whaley,Doug Whaley,Doug Whaley,Brandon Beane,Brandon Beane,Brandon Beane,Brandon Beane,Brandon Beane,Brandon Beane,Brandon Beane,Brandon Beane
MIA,Miami Dolphins,Don Shula,Don Shula,Don Shula,Don Shula,Don Shula,Don Shula,Don Shula,Don Shula,Mike Robbie,Mike Robbie,Mike Robbie,Mike Robbie,Mike Robbie,Mike Robbie,Mike Robbie,Mike Robbie,Mike Robbie,Mike Robbie,Mike Robbie,Mike Robbie,Eddie Jones,Eddie Jones,Eddie Jones,Eddie Jones,Eddie Jones,Eddie Jones,Eddie Jones,Eddie Jones,Eddie Jones,Eddie Jones,Eddie Jones,Eddie Jones,Eddie Jones,Eddie Jones,Eddie Jones,Randy Mueller,Randy Mueller,Randy Mueller,Jeff Ireland,Jeff Ireland,Jeff Ireland,Jeff Ireland,Jeff Ireland,Jeff Ireland,Dennis Hickey,Dennis Hickey,Chris Grier,Chris Grier,Chris Grier,Chris Grier,Chris Grier,Chris Grier,Chris Grier,Chris Grier,Chris Grier
NYJ,New York Jets,Weeb Ewbank,Weeb Ewbank,Weeb Ewbank,Weeb Ewbank,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Dick Haley,null,null,Dick Haley,Dick Haley,Dick Haley,null,Terry Bradway,Terry Bradway,Terry Bradway,Terry Bradway,Terry Bradway,Mike Tannenbaum,Mike Tannenbaum,Mike Tannenbaum,Mike Tannenbaum,Mike Tannenbaum,Mike Tannenbaum,Mike Tannenbaum,John Idzik,John Idzik,Mike Maccagnan,Mike Maccagnan,Mike Maccagnan,Mike Maccagnan,Joe Douglas,Joe Douglas,Joe Douglas,Joe Douglas,Joe Douglas,Joe Douglas
NWE,New England Patriots,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Charley Armey,Charley Armey,Bobby Grier,Bobby Grier,Bobby Grier,Bobby Grier,Bobby Grier,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,
RAV,Baltimore Ravens,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Ozzie Newsome,Eric DeCosta,Eric DeCosta,Eric DeCosta,Eric DeCosta,Eric DeCosta,Eric DeCosta
PIT,Pittsburgh Steelers,Dan Rooney,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Art Rooney Jr.,Dick Haley,Dick Haley,Dick Haley,Dick Haley,Tom Donahoe,Tom Donahoe,Tom Donahoe,Tom Donahoe,Tom Donahoe,Tom Donahoe,Tom Donahoe,Tom Donahoe,Tom Donahoe,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Kevin Colbert,Omar Khan,Omar Khan,Omar Khan
CIN,Cincinnati Bengals,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,null,null,null,null,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Mike Brown,null,null,null,null,null,null,null,null,null,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,null,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Duke Tobin,Duke Tobin,Duke Tobin,Duke Tobin,Duke Tobin,Duke Tobin,Duke Tobin,Duke Tobin,Duke Tobin,Duke Tobin,Duke Tobin
CLE,Cleveland Browns,Harold Sauerbrei,null,null,null,null,Peter Hadhazy,Peter Hadhazy,Peter Hadhazy,null,null,null,null,null,null,Peter Hadhazy,Ernie Accorsi,Ernie Accorsi,Ernie Accorsi,Ernie Accorsi,null,null,Ernie Accorsi,Bill Belichick,Bill Belichick,Bill Belichick,Bill Belichick,null,null,null,null,null,Dwight Clark,Butch Davis,Butch Davis,Butch Davis,Phil Savage,Phil Savage,Phil Savage,Phil Savage,George Kokinis,Tom Heckert,Tom Heckert,Tom Heckert,Michael Lombardi,Ray Farmer,Ray Farmer,,John Dorsey,John Dorsey,John Dorsey,Andrew Berry,Andrew Berry,Andrew Berry,Andrew Berry,Andrew Berry
HTX,Houston Texans,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Charley Casserly,Charley Casserly,Charley Casserly,Charley Casserly,Rick Smith,Rick Smith,Rick Smith,Rick Smith,Rick Smith,Rick Smith,Rick Smith,Rick Smith,Rick Smith,Rick Smith,Rick Smith,Rick Smith,Brian Gaine,Bill O'Brien,Bill O'Brien,Nick Caserio,Nick Caserio,Nick Caserio,Nick Caserio
CLT,Indianapolis Colts,null,null,null,null,null,Joe Thomas,Joe Thomas,Dick Szymanski,Dick Szymanski,Dick Szymanski,null,null,null,null,null,null,null,null,null,null,null,null,James Irsay,James Irsay,Bill Tobin,Bill Tobin,null,null,Bill Polian,Bill Polian,Bill Polian,Bill Polian,Bill Polian,Bill Polian,Bill Polian,Bill Polian,Bill Polian,Bill Polian,Bill Polian,Bill Polian,Chris Polian,Chris Polian,Ryan Grigson,Ryan Grigson,Ryan Grigson,Ryan Grigson,Ryan Grigson,Chris Ballard,Chris Ballard,Chris Ballard,Chris Ballard,Chris Ballard,Chris Ballard,Chris Ballard,Chris Ballard
JAX,Jacksonville Jaguars,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tom Coughlin,Tom Coughlin,Tom Coughlin,Tom Coughlin,Tom Coughlin,Tom Coughlin,Tom Coughlin,Tom Coughlin,James Harris,James Harris,James Harris,James Harris,James Harris,James Harris,Gene Smith,Gene Smith,Gene Smith,Gene Smith,David Caldwell,David Caldwell,David Caldwell,David Caldwell,David Caldwell,David Caldwell,David Caldwell,David Caldwell,Trent Baalke,Trent Baalke,Trent Baalke,Trent Baalke
OTI,Tennessee Titans,Bob Brodhead,null,null,Sid Gillman,Sid Gillman,Bum Phillips,Bum Phillips,Bum Phillips,Bum Phillips,Bum Phillips,Bum Phillips,null,null,null,null,Ladd Herzeg,Ladd Herzeg,Ladd Herzeg,Ladd Herzeg,Ladd Herzeg,Mike Holovak,Mike Holovak,Mike Holovak,Mike Holovak,Floyd Reese,Floyd Reese,Floyd Reese,Floyd Reese,Floyd Reese,Floyd Reese,Floyd Reese,Floyd Reese,Floyd Reese,Floyd Reese,Floyd Reese,Floyd Reese,Floyd Reese,Mike Reinfeldt,Mike Reinfeldt,Mike Reinfeldt,Mike Reinfeldt,Mike Reinfeldt,Ruston Webster,Ruston Webster,Ruston Webster,Ruston Webster,Jon Robinson,Jon Robinson,Jon Robinson,Jon Robinson,Jon Robinson,Jon Robinson,Ryan Cowden,Ran Carthon,Ran Carthon
KAN,Kansas City Chiefs,Jack Steadman,Jack Steadman,Jack Steadman,Jack Steadman,Jack Steadman,null,null,null,Jim Schaaf,Jim Schaaf,Jim Schaaf,Jim Schaaf,Jim Schaaf,null,null,null,null,null,null,Carl Peterson,Carl Peterson,Carl Peterson,Carl Peterson,Carl Peterson,Carl Peterson,Carl Peterson,Carl Peterson,Carl Peterson,Carl Peterson,null,null,Carl Peterson,Carl Peterson,Carl Peterson,Carl Peterson,Carl Peterson,Carl Peterson,Carl Peterson,Carl Peterson,Scott Pioli,Scott Pioli,Scott Pioli,Scott Pioli,John Dorsey,John Dorsey,John Dorsey,John Dorsey,Brett Veach,Brett Veach,Brett Veach,Brett Veach,Brett Veach,Brett Veach,Brett Veach,Brett Veach
SDG,Los Angeles Chargers,null,Harland Svare,null,null,null,null,null,null,Johnny Sanders,Johnny Sanders,Johnny Sanders,Johnny Sanders,Johnny Sanders,Johnny Sanders,Johnny Sanders,Johnny Sanders,Johnny Sanders,null,null,null,null,null,Bobby Beathard,Bobby Beathard,Bobby Beathard,Bobby Beathard,Bobby Beathard,null,null,null,null,John Butler,John Butler,A.J. Smith,A.J. Smith,A.J. Smith,A.J. Smith,A.J. Smith,A.J. Smith,A.J. Smith,A.J. Smith,A.J. Smith,A.J. Smith,Tom Telesco,Tom Telesco,Tom Telesco,Tom Telesco,Tom Telesco,Tom Telesco,Tom Telesco,Tom Telesco,Tom Telesco,Tom Telesco,Tom Telesco,Joe Hortiz
DEN,Denver Broncos,Lou Saban,Lou Saban,null,null,null,null,null,null,null,null,null,Grady Alderman,Grady Alderman,Hein Poulus,John Beake,John Beake,John Beake,John Beake,John Beake,John Beake,John Beake,John Beake,John Beake,John Beake,John Beake,John Beake,John Beake,John Beake,John Beake,Neal Dahlen,Neal Dahlen,Neal Dahlen,Ted Sundquist,Ted Sundquist,Ted Sundquist,Ted Sundquist,Ted Sundquist,Ted Sundquist,,Brian Xanders,Brian Xanders,John Elway,John Elway,John Elway,John Elway,John Elway,John Elway,John Elway,John Elway,John Elway,John Elway,George Paton,George Paton,George Paton,George Paton
RAI,Las Vegas Raiders,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,null,null,null,null,null,null,null,null,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Hue Jackson,Reggie McKenzie,Reggie McKenzie,Reggie McKenzie,Reggie McKenzie,Reggie McKenzie,Reggie McKenzie,Reggie McKenzie,Mike Mayock,Mike Mayock,Mike Mayock,Dave Ziegler,Champ Kelly,
PHI,Philadelphia Eagles,null,null,null,null,null,null,Jim Murray,Jim Murray,Jim Murray,Jim Murray,Jim Murray,Jim Murray,Jim Murray,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Tom Modrak,Tom Modrak,Andy Reid,Andy Reid,Andy Reid,Andy Reid,Andy Reid,Tom Heckert,Tom Heckert,Tom Heckert,Tom Heckert,Howie Roseman,Howie Roseman,Howie Roseman,Howie Roseman,Howie Roseman,Howie Roseman,Howie Roseman,Howie Roseman,Howie Roseman,Howie Roseman,Howie Roseman,Howie Roseman,Howie Roseman,Howie Roseman,Howie Roseman
WAS,Washington Commanders,null,George Allen,George Allen,George Allen,George Allen,George Allen,George Allen,George Allen,Bobby Beathard,Bobby Beathard,Bobby Beathard,Bobby Beathard,Bobby Beathard,Bobby Beathard,Bobby Beathard,Bobby Beathard,Bobby Beathard,Bobby Beathard,Bobby Beathard,Charley Casserly,Charley Casserly,Charley Casserly,Charley Casserly,null,Charley Casserly,Charley Casserly,Charley Casserly,Charley Casserly,Charley Casserly,Charley Casserly,Vinny Cerrato,Marty Schottenheimer,Vinny Cerrato,,,,,,,,Bruce Allen,Bruce Allen,Bruce Allen,Bruce Allen,Bruce Allen,Scot McCloughan,Scot McCloughan,,,,Ron Rivera,Martin Mayhew,Martin Mayhew,Martin Mayhew,Adam Peters
DAL,Dallas Cowboys,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Tex Schramm,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,null,null,null,null,null,null,null,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones
NYG,New York Giants,null,null,null,null,null,null,null,null,null,null,null,null,null,George Young,George Young,George Young,George Young,George Young,George Young,George Young,George Young,null,null,George Young,George Young,George Young,George Young,George Young,Ernie Accorsi,Ernie Accorsi,Ernie Accorsi,Ernie Accorsi,Ernie Accorsi,Ernie Accorsi,Ernie Accorsi,Ernie Accorsi,Ernie Accorsi,Jerry Reese,Jerry Reese,Jerry Reese,Jerry Reese,Jerry Reese,Jerry Reese,Jerry Reese,Jerry Reese,Jerry Reese,Jerry Reese,Jerry Reese,Dave Gettleman,Dave Gettleman,Dave Gettleman,Dave Gettleman,Joe Schoen,Joe Schoen,Joe Schoen
DET,Detroit Lions,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Russ Thomas,Chuck Schmidt,Chuck Schmidt,Chuck Schmidt,Chuck Schmidt,Chuck Schmidt,Chuck Schmidt,Chuck Schmidt,Chuck Schmidt,Chuck Schmidt,Chuck Schmidt,Chuck Schmidt,Chuck Schmidt,Bill Tobin,Bill Tobin,Matt Millen,Matt Millen,Matt Millen,Matt Millen,Matt Millen,Martin Mayhew,Martin Mayhew,Martin Mayhew,Martin Mayhew,Martin Mayhew,Martin Mayhew,Martin Mayhew,Martin Mayhew,Bob Quinn,Bob Quinn,Bob Quinn,Bob Quinn,Bob Quinn,Brad Holmes,Brad Holmes,Brad Holmes,Brad Holmes
MIN,Minnesota Vikings,Jim Finks,Jim Finks,Jim Finks,Jim Finks,Jim Finks,Mike Lynn,Mike Lynn,Mike Lynn,Mike Lynn,Mike Lynn,Mike Lynn,Mike Lynn,Mike Lynn,Mike Lynn,null,Mike Lynn,null,null,null,null,null,null,Jeff Diamond,Jeff Diamond,Jeff Diamond,Jeff Diamond,Jeff Diamond,Jeff Diamond,Jeff Diamond,Tim Connolly,Dennis Green,Dennis Green,,,,,Fran Foley,Rick Spielman,Rick Spielman,Rick Spielman,Rick Spielman,Rick Spielman,Rick Spielman,Rick Spielman,Rick Spielman,Rick Spielman,Rick Spielman,Rick Spielman,Rick Spielman,Rick Spielman,Rick Spielman,Rick Spielman,Kwesi Adofo-Mensah,Kwesi Adofo-Mensah,Kwesi Adofo-Mensah
GNB,Green Bay Packers,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Dick Corrick,Dick Corrick,Dick Corrick,,null,null,null,null,Ron Wolf,Ron Wolf,Ron Wolf,Ron Wolf,Ron Wolf,Ron Wolf,Ron Wolf,null,null,Mike Sherman,Mike Sherman,Mike Sherman,Mike Sherman,Ted Thompson,Ted Thompson,Ted Thompson,Ted Thompson,Ted Thompson,Ted Thompson,Ted Thompson,Ted Thompson,Ted Thompson,Ted Thompson,Ted Thompson,Ted Thompson,Ted Thompson,Brian Gutekunst,Brian Gutekunst,Brian Gutekunst,Brian Gutekunst,Brian Gutekunst,Brian Gutekunst,Brian Gutekunst
CHI,Chicago Bears,null,null,null,null,null,Jim Finks,Jim Finks,Jim Finks,null,null,null,null,Jim Finks,Jerry Vainisi,Jerry Vainisi,Jerry Vainisi,Jerry Vainisi,Bill Tobin,Bill Tobin,Bill Tobin,Bill Tobin,Bill Tobin,Bill Tobin,Dave Wannstedt,Rod Graves,Rod Graves,Rod Graves,Mark Hatley,Mark Hatley,Mark Hatley,Mark Hatley,Jerry Angelo,Jerry Angelo,Jerry Angelo,Jerry Angelo,Jerry Angelo,Jerry Angelo,Jerry Angelo,Jerry Angelo,Jerry Angelo,Jerry Angelo,Jerry Angelo,Phil Emery,Phil Emery,Phil Emery,Ryan Pace,Ryan Pace,Ryan Pace,Ryan Pace,Ryan Pace,Ryan Pace,Ryan Pace,Ryan Poles,Ryan Poles,Ryan Poles
TAM,Tampa Bay Buccaneers,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,Rich McKay,Rich McKay,Rich McKay,Rich McKay,Rich McKay,Rich McKay,Rich McKay,Rich McKay,Rich McKay,Bruce Allen,Bruce Allen,Bruce Allen,Bruce Allen,Bruce Allen,Mark Dominik,Mark Dominik,Mark Dominik,Mark Dominik,Mark Dominik,Jason Licht,Jason Licht,Jason Licht,Jason Licht,Jason Licht,Jason Licht,Jason Licht,Jason Licht,Jason Licht,Jason Licht,Jason Licht
ATL,Atlanta Falcons,Norm Van Brocklin,Norm Van Brocklin,Norm Van Brocklin,Norm Van Brocklin,Norm Van Brocklin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Ken Herock,Ken Herock,Ken Herock,Ken Herock,null,null,null,Dan Reeves,Harold Richardson,Harold Richardson,Harold Richardson,Harold Richardson,Dan Reeves,Dan Reeves,Rich McKay,Rich McKay,Rich McKay,Rich McKay,Thomas Dimitroff,Thomas Dimitroff,Thomas Dimitroff,Thomas Dimitroff,Thomas Dimitroff,Thomas Dimitroff,Thomas Dimitroff,Thomas Dimitroff,Thomas Dimitroff,Thomas Dimitroff,Thomas Dimitroff,Thomas Dimitroff,Thomas Dimitroff,Terry Fontenot,Terry Fontenot,Terry Fontenot,Terry Fontenot
