Abbrev,Team,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BUF,Buffalo Bills,null,null,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,null,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,null,null,null,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Ralph Wilson,Mary Wilson,Kim Pegula,Kim Pegula,Kim Pegula,Kim Pegula,Kim Pegula,Kim Pegula,Kim Pegula,Kim Pegula,Kim Pegula,Kim Pegula
MIA,Miami Dolphins,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Joe Robbie,Tim Robbie,Tim Robbie,Tim Robbie,Tim Robbie,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Wayne Huizenga,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross,Stephen Ross
NYJ,New York Jets,Leon Hess,Leon Hess,Leon Hess,Leon Hess,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Leon Hess,null,null,Leon Hess,Leon Hess,Leon Hess,null,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson,Woody Johnson
NWE,New England Patriots,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,James Orthwein,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft,Robert Kraft
RAV,Baltimore Ravens,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Art Modell,Art Modell,Art Modell,Art Modell,Art Modell,Art Modell,Art Modell,Art Modell,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti,Steve Bisciotti
PIT,Pittsburgh Steelers,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Art Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Dan Rooney,Art Rooney II,Art Rooney II,Art Rooney II,Art Rooney II,Art Rooney II,Art Rooney II,Art Rooney II,Art Rooney II
CIN,Cincinnati Bengals,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,null,null,null,null,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Paul Brown,Mike Brown,null,null,null,null,null,null,null,null,null,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,null,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown,Mike Brown
CLE,Cleveland Browns,Art Modell,null,null,null,null,Art Modell,Art Modell,Art Modell,null,null,null,null,null,null,Art Modell,Art Modell,Art Modell,Art Modell,Art Modell,null,null,Art Modell,Art Modell,Art Modell,Art Modell,Art Modell,null,null,null,null,null,Al Lerner,Randy Lerner,Randy Lerner,Randy Lerner,Randy Lerner,Randy Lerner,Randy Lerner,Randy Lerner,Randy Lerner,Randy Lerner,Randy Lerner,Dee Haslam,Dee Haslam,Dee Haslam,Dee Haslam,Dee Haslam,Dee Haslam,Dee Haslam,Dee Haslam,Dee Haslam,Dee Haslam,Dee Haslam,Dee Haslam,Dee Haslam
HTX,Houston Texans,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Bob McNair,Janice McNair,Janice McNair,Janice McNair,Janice McNair,Janice McNair,Cal McNair
CLT,Indianapolis Colts,null,null,null,null,null,Robert Irsay,Robert Irsay,Robert Irsay,Robert Irsay,Robert Irsay,null,null,null,null,null,null,null,null,null,null,null,null,Robert Irsay,Robert Irsay,Robert Irsay,Robert Irsay,null,null,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay,Jim Irsay
JAX,Jacksonville Jaguars,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Wayne Weaver,Shahid Khan,Shahid Khan,Shahid Khan,Shahid Khan,Shahid Khan,Shahid Khan,Shahid Khan,Shahid Khan,Shahid Khan,Shahid Khan,Shahid Khan,Shahid Khan,Shahid Khan
OTI,Tennessee Titans,Bud Adams,null,null,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,null,null,null,null,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Bud Adams,Susie Adams Smith,Susie Adams Smith,Amy Adams Strunk,Amy Adams Strunk,Amy Adams Strunk,Amy Adams Strunk,Amy Adams Strunk,Amy Adams Strunk,Amy Adams Strunk,Amy Adams Strunk,Amy Adams Strunk
KAN,Kansas City Chiefs,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,null,null,null,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,null,null,null,null,null,null,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,null,null,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,Lamar Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt,Clark Hunt
SDG,Los Angeles Chargers,null,Eugene Klein,null,null,null,null,null,null,Eugene Klein,Eugene Klein,Eugene Klein,Eugene Klein,Eugene Klein,Eugene Klein,Alex Spanos,Alex Spanos,Alex Spanos,null,null,null,null,null,Alex Spanos,Alex Spanos,Alex Spanos,Alex Spanos,Alex Spanos,null,null,null,null,Alex Spanos,Alex Spanos,Alex Spanos,Alex Spanos,Alex Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos,Dean Spanos
DEN,Denver Broncos,Gerald Phipps,Gerald Phipps,null,null,null,null,null,null,null,null,null,Edgar Kaiser,Edgar Kaiser,Edgar Kaiser,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Pat Bowlen,Joe Ellis,Joe Ellis,Joe Ellis,Greg Penner,Greg Penner,Greg Penner
RAI,Las Vegas Raiders,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,null,null,null,null,null,null,null,null,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Al Davis,Mark Davis,Mark Davis,Mark Davis,Mark Davis,Mark Davis,Mark Davis,Mark Davis,Mark Davis,Mark Davis,Mark Davis,Mark Davis,Mark Davis,Mark Davis,
PHI,Philadelphia Eagles,null,null,null,null,null,null,Leonard Tose,Leonard Tose,Leonard Tose,Leonard Tose,Leonard Tose,Leonard Tose,Leonard Tose,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie,Jeffrey Lurie
WAS,Washington Commanders,null,Edward Bennett Williams,Edward Bennett Williams,Edward Bennett Williams,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,null,Jack Kent Cooke,Jack Kent Cooke,Jack Kent Cooke,,,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Daniel Snyder,Josh Harris,Josh Harris
DAL,Dallas Cowboys,Clint Murchison Jr.,Clint Murchison Jr.,Clint Murchison Jr.,Clint Murchison Jr.,Clint Murchison Jr.,Clint Murchison Jr.,Clint Murchison Jr.,Clint Murchison Jr.,Clint Murchison Jr.,Clint Murchison Jr.,Clint Murchison Jr.,Clint Murchison Jr.,Clint Murchison Jr.,Clint Murchison Jr.,Harvey Bright,Harvey Bright,Harvey Bright,Harvey Bright,Harvey Bright,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,null,null,null,null,null,null,null,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones,Jerry Jones
NYG,New York Giants,null,null,null,null,null,null,null,null,null,null,null,null,null,Tim J. Mara,Tim J. Mara,Tim J. Mara,Tim J. Mara,Tim J. Mara,Tim J. Mara,Tim J. Mara,Tim J. Mara,null,null,Wellington Mara,Wellington Mara,Wellington Mara,Wellington Mara,Wellington Mara,Wellington Mara,Wellington Mara,Wellington Mara,Wellington Mara,Wellington Mara,Wellington Mara,Wellington Mara,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch,Steve Tisch
DET,Detroit Lions,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,William Clay Ford Sr.,Martha Firestone Ford,Martha Firestone Ford,Martha Firestone Ford,Martha Firestone Ford,Martha Firestone Ford,Martha Firestone Ford,Sheila Ford Hamp,Sheila Ford Hamp,Sheila Ford Hamp,Sheila Ford Hamp,Sheila Ford Hamp
