Abbrev,Team,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CLT,Indianapolis Colts,0.846,0.714,0.357,0.286,0.143,0.714,0.786,0.714,0.313,0.313,0.438,0.125,0.056,0.438,0.25,0.313,0.188,0.6,0.563,0.5,0.438,0.063,0.563,0.25,0.5,0.563,0.563,0.188,0.188,0.813,0.625,0.375,0.625,0.75,0.75,0.875,0.75,0.813,0.75,0.875,0.625,0.125,0.688,0.688,0.688,0.5,0.5,0.25,0.625,0.438,0.688,0.529,0.265,0.529,0.471
MIA,Miami Dolphins,0.714,0.769,1.0,0.857,0.786,0.714,0.429,0.714,0.688,0.625,0.5,0.719,0.778,0.75,0.875,0.75,0.5,0.533,0.375,0.5,0.75,0.5,0.688,0.563,0.625,0.563,0.5,0.563,0.625,0.563,0.688,0.688,0.563,0.625,0.25,0.563,0.375,0.063,0.688,0.438,0.438,0.375,0.438,0.5,0.5,0.375,0.625,0.375,0.438,0.313,0.625,0.529,0.529,0.647,0.471
NYJ,New York Jets,0.286,0.429,0.5,0.286,0.5,0.214,0.214,0.214,0.5,0.5,0.25,0.656,0.667,0.438,0.438,0.688,0.625,0.4,0.531,0.25,0.375,0.5,0.25,0.5,0.375,0.188,0.063,0.563,0.75,0.5,0.563,0.625,0.563,0.375,0.625,0.25,0.625,0.25,0.563,0.563,0.688,0.5,0.375,0.5,0.25,0.625,0.313,0.313,0.25,0.438,0.125,0.235,0.412,0.412,0.294
BUF,Buffalo Bills,0.231,0.071,0.321,0.643,0.643,0.571,0.143,0.214,0.313,0.438,0.688,0.625,0.444,0.5,0.125,0.125,0.25,0.467,0.75,0.563,0.813,0.813,0.688,0.75,0.438,0.625,0.625,0.375,0.625,0.688,0.5,0.188,0.5,0.375,0.563,0.313,0.438,0.438,0.438,0.375,0.25,0.375,0.375,0.375,0.563,0.5,0.438,0.563,0.375,0.625,0.813,0.647,0.813,0.647,0.765
NWE,New England Patriots,0.143,0.429,0.214,0.357,0.5,0.214,0.786,0.643,0.688,0.563,0.625,0.125,0.556,0.5,0.563,0.688,0.688,0.533,0.563,0.313,0.063,0.375,0.125,0.313,0.625,0.375,0.688,0.625,0.563,0.5,0.313,0.688,0.563,0.875,0.875,0.625,0.75,1.0,0.688,0.625,0.875,0.813,0.75,0.75,0.75,0.75,0.875,0.813,0.688,0.75,0.438,0.588,0.471,0.235,0.235
CIN,Cincinnati Bengals,0.571,0.286,0.571,0.714,0.5,0.786,0.714,0.571,0.25,0.25,0.375,0.75,0.778,0.438,0.5,0.438,0.625,0.267,0.75,0.5,0.563,0.188,0.313,0.188,0.188,0.438,0.5,0.438,0.188,0.25,0.25,0.375,0.125,0.5,0.5,0.688,0.5,0.438,0.281,0.625,0.25,0.563,0.625,0.688,0.656,0.75,0.406,0.438,0.375,0.125,0.281,0.588,0.75,0.529,0.529
CLE,Cleveland Browns,0.5,0.643,0.714,0.571,0.286,0.214,0.643,0.429,0.5,0.563,0.688,0.313,0.444,0.563,0.313,0.5,0.75,0.667,0.625,0.594,0.188,0.375,0.438,0.438,0.688,0.313,0.0,0.0,0.0,0.125,0.188,0.438,0.563,0.313,0.25,0.375,0.25,0.625,0.25,0.313,0.313,0.25,0.313,0.25,0.438,0.188,0.063,0.0,0.469,0.375,0.688,0.471,0.412,0.647,0.176
PIT,Pittsburgh Steelers,0.357,0.429,0.786,0.714,0.75,0.857,0.714,0.643,0.875,0.75,0.563,0.5,0.667,0.625,0.563,0.438,0.375,0.533,0.313,0.563,0.563,0.438,0.688,0.563,0.75,0.688,0.625,0.688,0.438,0.375,0.563,0.813,0.656,0.375,0.938,0.688,0.5,0.625,0.75,0.563,0.75,0.75,0.5,0.5,0.688,0.625,0.688,0.813,0.594,0.5,0.75,0.559,0.529,0.588,0.588
OTI,Tennessee Titans,0.231,0.308,0.071,0.071,0.5,0.714,0.357,0.571,0.625,0.688,0.688,0.438,0.111,0.125,0.188,0.313,0.313,0.6,0.625,0.563,0.563,0.688,0.625,0.75,0.125,0.438,0.5,0.5,0.5,0.813,0.813,0.438,0.688,0.75,0.313,0.25,0.5,0.625,0.813,0.5,0.375,0.563,0.375,0.438,0.125,0.188,0.563,0.563,0.563,0.563,0.688,0.706,0.412,0.353,0.176
RAI,Las Vegas Raiders,0.667,0.667,0.75,0.679,0.857,0.786,0.929,0.786,0.563,0.563,0.688,0.438,0.889,0.75,0.688,0.75,0.5,0.333,0.438,0.5,0.75,0.563,0.438,0.625,0.563,0.5,0.438,0.25,0.5,0.5,0.75,0.625,0.688,0.25,0.313,0.25,0.125,0.25,0.313,0.313,0.5,0.5,0.25,0.25,0.188,0.438,0.75,0.375,0.25,0.438,0.5,0.588,0.353,0.471,0.235
