,Abbrev,Team,W-L%
0,NWE,New England Patriots,.625
1,NYJ,New York Jets,.563
2,MIA,Miami Dolphins,.438
3,BUF,Buffalo Bills,.375
4,CIN,Cincinnati Bengals,.625
5,RAV,Baltimore Ravens,.563
6,PIT,Pittsburgh Steelers,.563
7,CLE,Cleveland Browns,.313
8,CLT,Indianapolis Colts,.875
9,HTX,Houston Texans,.563
10,OTI,Tennessee Titans,.500
11,JAX,Jacksonville Jaguars,.438
12,SDG,Los Angeles Chargers,.813
13,DEN,Denver Broncos,.500
14,RAI,Las Vegas Raiders,.313
15,KAN,Kansas City Chiefs,.250
16,DAL,Dallas Cowboys,.688
17,PHI,Philadelphia Eagles,.688
18,NYG,New York Giants,.500
19,WAS,Washington Commanders,.250
20,MIN,Minnesota Vikings,.750
21,GNB,Green Bay Packers,.688
22,CHI,Chicago Bears,.438
23,DET,Detroit Lions,.125
24,NOR,New Orleans Saints,.813
25,ATL,Atlanta Falcons,.563
26,CAR,Carolina Panthers,.500
27,TAM,Tampa Bay Buccaneers,.188
28,CRD,Arizona Cardinals,.625
29,SFO,San Francisco 49ers,.500
30,SEA,Seattle Seahawks,.313
31,RAM,Los Angeles Rams,.063
