,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Won,Num,Notes,id
7,1970,40,MIA,NFL,14,10,4,0,0.714,-1.3,-1.3,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0,ShulDo0
8,1971,41,MIA,NFL,14,10,3,1,0.769,7.7,2.4,5.3,3.0,2.0,1.0,0.667,1.0,0.0,0.0,AFC Champions,ShulDo0
9,1972,42,MIA,NFL,14,14,0,0,1.0,11.0,4.5,6.5,3.0,3.0,0.0,1.0,1.0,0.0,0.0,Super Bowl Champions,ShulDo0
10,1973,43,MIA,NFL,14,12,2,0,0.857,13.3,5.0,8.3,3.0,3.0,0.0,1.0,1.0,0.0,0.0,Super Bowl Champions,ShulDo0
11,1974,44,MIA,NFL,14,11,3,0,0.786,6.1,3.9,2.3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,ShulDo0
12,1975,45,MIA,NFL,14,10,4,0,0.714,9.3,3.3,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,ShulDo0
13,1976,46,MIA,NFL,14,6,8,0,0.429,-0.1,-1.8,1.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,ShulDo0
14,1977,47,MIA,NFL,14,10,4,0,0.714,7.8,4.4,3.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,ShulDo0
15,1978,48,MIA,NFL,16,11,5,0,0.688,7.6,4.2,3.3,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0,ShulDo0
16,1979,49,MIA,NFL,16,10,6,0,0.625,4.3,0.3,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,ShulDo0
17,1980,50,MIA,NFL,16,8,8,0,0.5,-1.6,-4.6,3.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,ShulDo0
18,1981,51,MIA,NFL,16,11,4,1,0.719,2.9,0.1,2.8,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,ShulDo0
19,1982,52,MIA,NFL,9,7,2,0,0.778,8.2,2.6,5.6,4.0,3.0,1.0,0.75,1.0,0.0,0.0,AFC Champions,ShulDo0
20,1983,53,MIA,NFL,16,12,4,0,0.75,7.7,2.6,5.2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,ShulDo0
21,1984,54,MIA,NFL,16,14,2,0,0.875,10.6,9.1,1.5,3.0,2.0,1.0,0.667,1.0,0.0,0.0,AFC Champions,ShulDo0
22,1985,55,MIA,NFL,16,12,4,0,0.75,7.0,6.1,0.9,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0,ShulDo0
23,1986,56,MIA,NFL,16,8,8,0,0.5,0.5,6.2,-5.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,ShulDo0
24,1987,57,MIA,NFL,15,8,7,0,0.533,2.1,3.2,-1.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,ShulDo0
25,1988,58,MIA,NFL,16,6,10,0,0.375,-2.8,1.0,-3.9,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,ShulDo0
26,1989,59,MIA,NFL,16,8,8,0,0.5,-4.8,-0.6,-4.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,ShulDo0
27,1990,60,MIA,NFL,16,12,4,0,0.75,4.7,0.5,4.2,2.0,1.0,1.0,0.5,2.0,0.0,0.0,0,ShulDo0
28,1991,61,MIA,NFL,16,8,8,0,0.5,-4.1,0.7,-4.8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,ShulDo0
29,1992,62,MIA,NFL,16,11,5,0,0.688,1.5,2.1,-0.6,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0,ShulDo0
30,1993,63,MIA,NFL,16,9,7,0,0.563,-0.5,3.9,-4.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,ShulDo0
31,1994,64,MIA,NFL,16,10,6,0,0.625,4.2,4.5,-0.3,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0,ShulDo0
32,1995,65,MIA,NFL,16,9,7,0,0.563,2.7,3.1,-0.4,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0,ShulDo0
73,1991,39,CLE,NFL,16,6,10,0,0.375,-0.4,-0.7,0.4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,BeliBi0
74,1992,40,CLE,NFL,16,7,9,0,0.438,-1.0,-2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,BeliBi0
75,1993,41,CLE,NFL,16,7,9,0,0.438,-1.2,-0.6,-0.6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,BeliBi0
76,1994,42,CLE,NFL,16,11,5,0,0.688,7.3,1.2,6.1,2.0,1.0,1.0,0.5,2.0,0.0,0.0,0,BeliBi0
77,1995,43,CLE,NFL,16,5,11,0,0.313,-3.8,-3.2,-0.6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,BeliBi0
78,2000,48,NWE,NFL,16,5,11,0,0.313,-2.5,-2.7,0.2,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0,BeliBi0
79,2001,49,NWE,NFL,16,11,5,0,0.688,4.3,1.2,3.1,3.0,3.0,0.0,1.0,1.0,3.0,6.0,Super Bowl Champions,BeliBi0
80,2002,50,NWE,NFL,16,9,7,0,0.563,4.0,2.1,1.9,0.0,0.0,0.0,0.0,2.0,5.0,9.0,0,BeliBi0
81,2003,51,NWE,NFL,16,14,2,0,0.875,6.9,2.1,4.9,3.0,3.0,0.0,1.0,1.0,1.0,8.0,Super Bowl Champions,BeliBi0
82,2004,52,NWE,NFL,16,14,2,0,0.875,12.8,6.4,6.5,3.0,3.0,0.0,1.0,1.0,5.0,8.0,Super Bowl Champions,BeliBi0
83,2005,53,NWE,NFL,16,10,6,0,0.625,3.1,3.7,-0.5,2.0,1.0,1.0,0.5,1.0,3.0,8.0,0,BeliBi0
84,2006,54,NWE,NFL,16,12,4,0,0.75,10.2,4.3,5.9,3.0,2.0,1.0,0.667,1.0,1.0,5.0,0,BeliBi0
85,2007,55,NWE,NFL,16,16,0,0,1.0,20.1,15.9,4.2,3.0,2.0,1.0,0.667,1.0,4.0,8.0,AFC Champions,BeliBi0
86,2008,56,NWE,NFL,16,11,5,0,0.688,3.9,2.3,1.6,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0,BeliBi0
87,2009,57,NWE,NFL,16,10,6,0,0.625,11.2,6.7,4.5,1.0,0.0,1.0,0.0,1.0,1.0,7.0,0,BeliBi0
88,2010,58,NWE,NFL,16,14,2,0,0.875,15.4,12.6,2.8,1.0,0.0,1.0,0.0,1.0,4.0,9.0,0,BeliBi0
89,2011,59,NWE,NFL,16,13,3,0,0.813,9.3,9.4,-0.1,3.0,2.0,1.0,0.667,1.0,7.0,9.0,AFC Champions,BeliBi0
90,2012,60,NWE,NFL,16,12,4,0,0.75,12.8,12.2,0.5,2.0,1.0,1.0,0.5,1.0,3.0,7.0,0,BeliBi0
91,2013,61,NWE,NFL,16,12,4,0,0.75,5.9,4.5,1.4,2.0,1.0,1.0,0.5,1.0,0.0,1.0,0,BeliBi0
92,2014,62,NWE,NFL,16,12,4,0,0.75,10.9,7.5,3.5,3.0,3.0,0.0,1.0,1.0,0.0,3.0,Super Bowl Champions,BeliBi0
93,2015,63,NWE,NFL,16,12,4,0,0.75,7.0,5.3,1.7,2.0,1.0,1.0,0.5,1.0,2.0,5.0,0,BeliBi0
94,2016,64,NWE,NFL,16,14,2,0,0.875,9.3,4.3,5.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,Super Bowl Champions,BeliBi0
95,2017,65,NWE,NFL,16,13,3,0,0.813,8.9,6.3,2.6,3.0,2.0,1.0,0.667,1.0,2.0,5.0,AFC Champions,BeliBi0
96,2018,66,NWE,NFL,16,11,5,0,0.688,5.2,3.1,2.1,3.0,3.0,0.0,1.0,1.0,4.0,8.0,Super Bowl Champions,BeliBi0
97,2019,67,NWE,NFL,16,12,4,0,0.75,10.4,2.8,7.6,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0,BeliBi0
98,2020,68,NWE,NFL,16,7,9,0,0.438,-1.0,-4.2,3.2,0.0,0.0,0.0,0.0,3.0,2.0,4.0,0,BeliBi0
99,2021,69,NWE,NFL,17,10,7,0,0.588,8.5,3.6,4.8,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0,BeliBi0
100,2022,70,NWE,NFL,17,8,9,0,0.471,2.0,-0.3,2.3,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0,BeliBi0
101,2023,71,NWE,NFL,17,4,13,0,0.235,-7.9,-8.5,0.6,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0,BeliBi0
102,1999,41,PHI,NFL,16,5,11,0,0.313,-4.2,-3.3,-0.9,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0,ReidAn0
103,2000,42,PHI,NFL,16,11,5,0,0.688,3.1,1.0,2.1,2.0,1.0,1.0,0.5,2.0,0.0,2.0,0,ReidAn0
104,2001,43,PHI,NFL,16,11,5,0,0.688,7.7,0.9,6.8,3.0,2.0,1.0,0.667,1.0,2.0,3.0,0,ReidAn0
105,2002,44,PHI,NFL,16,12,4,0,0.75,8.3,4.5,3.8,2.0,1.0,1.0,0.5,1.0,2.0,3.0,0,ReidAn0
106,2003,45,PHI,NFL,16,12,4,0,0.75,4.4,2.9,1.5,2.0,1.0,1.0,0.5,1.0,3.0,8.0,0,ReidAn0
107,2004,46,PHI,NFL,16,13,3,0,0.813,5.6,2.0,3.5,3.0,2.0,1.0,0.667,1.0,7.0,10.0,NFC Champions,ReidAn0
108,2005,47,PHI,NFL,16,6,10,0,0.375,-2.3,-0.7,-1.7,0.0,0.0,0.0,0.0,4.0,1.0,8.0,0,ReidAn0
109,2006,48,PHI,NFL,16,10,6,0,0.625,3.4,3.2,0.2,2.0,1.0,1.0,0.5,1.0,1.0,4.0,0,ReidAn0
110,2007,49,PHI,NFL,16,8,8,0,0.5,5.3,0.1,5.1,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0,ReidAn0
111,2008,50,PHI,NFL,16,9,6,1,0.594,7.8,4.7,3.2,3.0,2.0,1.0,0.667,2.0,0.0,5.0,0,ReidAn0
112,2009,51,PHI,NFL,16,11,5,0,0.688,6.0,5.8,0.2,1.0,0.0,1.0,0.0,2.0,4.0,8.0,0,ReidAn0
113,2010,52,PHI,NFL,16,10,6,0,0.625,4.2,5.4,-1.2,1.0,0.0,1.0,0.0,1.0,3.0,6.0,0,ReidAn0
114,2011,53,PHI,NFL,16,8,8,0,0.5,4.7,3.1,1.7,0.0,0.0,0.0,0.0,2.0,10.0,14.0,0,ReidAn0
115,2012,54,PHI,NFL,16,4,12,0,0.25,-8.9,-5.3,-3.6,0.0,0.0,0.0,0.0,4.0,3.0,6.0,0,ReidAn0
116,2013,55,KAN,NFL,16,11,5,0,0.688,6.1,1.7,4.3,1.0,0.0,1.0,0.0,2.0,7.0,8.0,0,ReidAn0
117,2014,56,KAN,NFL,16,9,7,0,0.563,5.7,0.0,5.7,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0,ReidAn0
118,2015,57,KAN,NFL,16,11,5,0,0.688,9.0,3.7,5.3,2.0,1.0,1.0,0.5,2.0,3.0,6.0,0,ReidAn0
119,2016,58,KAN,NFL,16,12,4,0,0.75,5.6,1.2,4.4,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0,ReidAn0
120,2017,59,KAN,NFL,16,10,6,0,0.625,3.4,3.8,-0.3,1.0,0.0,1.0,0.0,1.0,2.0,6.0,0,ReidAn0
121,2018,60,KAN,NFL,16,12,4,0,0.75,8.9,12.6,-3.8,2.0,1.0,1.0,0.5,1.0,3.0,6.0,0,ReidAn0
122,2019,61,KAN,NFL,16,12,4,0,0.75,9.1,6.2,2.9,3.0,3.0,0.0,1.0,1.0,4.0,8.0,Super Bowl Champions,ReidAn0
123,2020,62,KAN,NFL,16,14,2,0,0.875,6.8,4.5,2.3,3.0,2.0,1.0,0.667,1.0,1.0,1.0,AFC Champions,ReidAn0
124,2021,63,KAN,NFL,17,12,5,0,0.706,7.4,5.4,2.0,3.0,2.0,1.0,0.667,1.0,5.0,5.0,0,ReidAn0
125,2022,64,KAN,NFL,17,14,3,0,0.824,6.2,6.8,-0.6,3.0,3.0,0.0,1.0,1.0,3.0,7.0,Super Bowl Champions,ReidAn0
126,2023,65,KAN,NFL,17,11,6,0,0.647,3.7,-0.6,4.4,4.0,4.0,0.0,1.0,1.0,4.0,5.0,Super Bowl Champions,ReidAn0
127,2024,66,KAN,NFL,17,15,2,0,0.882,4.2,-0.2,4.4,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0,ReidAn0
138,1970,46,DAL,NFL,14,10,4,0,0.714,7.0,2.5,4.5,3.0,2.0,1.0,0.667,1.0,0.0,0.0,NFC Champions,LandTo0
